Type,Count
Done,53465
To Do,4954
RELEASED TO PROD,585
In progress,556
READY FOR PROD,62
Released to UAT,185
On Hold,33
Closed,83123
Open,7851
Resolved,22652
Reopened,210
Rejected,1880
In review,47
Accepted,430
Blocked,218
Ready for Refinement,31
Ready for Testing,92
Ready for Development,34
Canceled,4
Waiting for Version,20
Ready for UAT,15
Code Review,122
Backlog,386
In QA,3
To be discussed,62
Submitted,16
Duplicate,81
Obsolete,123
Can't reproduce,45
Won't fix,32
Verified,16
Fixed,205
Zurückgestellt,4
New,299
Ready to merge,2
Testing,58
Not applicable,103
Prod candidate,1
Published,112
Open Bug,1
New Bug,1
Ready for Deployment,25
Approved,59
Reviewed,13
In Testing,22
Ready for Tests,80
Review,23
2018'bis,16
To Test,4
Planned,3
2018,44
Reopened Internally,99
Released,19
Tested,288
Ready for QA,14
Invalid,397
Ready for Release,5
Bugfixing,2
QA,20
Ready for customer,6
Test,1
dev review,6
Ready for Merge,7
In Refinement,13
Selected for Refinement,6
Ready for Estimation,2
QA Validating,6
Merged,1
Awaiting Doc,1
Awaiting Dev,1
Suspended,7
Testing PMI,1
Not a bug,443
Done - RCF,44
RL360,7
Passed,17
Done - root cause fix,161
To Do / To Discuss,2
Selected for Development,9
In Test,1
QA Ready,6
Draft,84
Awaiting review,10
Estimated,6
Ready for Review,24
Awaiting Decision,1
In test Warta,6
Ready,1
UAT,5
BudÅ¼et FR,31
Do rozliczenia,1
Rozliczony,131
Re-opened,1
Withdrawed,438
In Development,2
