Type,Count
Open,147902
Resolved,335882
In Progress,4155
Patch Available,5352
Reopened,3129
Closed,424273
Reviewable,250
Blocked,13
Triage Needed,604
Idea,1
To Do,2312
Done,2447
In Review,38
Accepted,779
For Review,13
Waiting for Infra,76
Waiting for user,29
on hold,5
Verified,2
Continued,18
Review In Progress,23
Changes Suggested,11
Ready to Commit,6
Needs Committer,3
Awaiting Feedback,35
