Type,Count
,166180
Invalid,19525
Fixed,576740
Won't Fix,38341
Duplicate,39314
Information Provided,1805
Abandoned,2339
Not A Problem,23641
Won't Do,1983
Later,6792
Not A Bug,2638
Cannot Reproduce,15775
Works for Me,281
Resolved,2440
Implemented,4235
Workaround,494
Done,11722
Incomplete,10306
Feedback Received,160
Auto Closed,2286
Pending Closed,277
Delivered,58
Staged,14
REMIND,12
