Type,Count
Story,71106
Task,112890
Bug,223683
Spike,3013
Feature Request,33654
Epic,13247
Feature,6656
Outcome,227
Enhancement,24702
Documentation,584
Initiative,186
Dev Task,26
Question,18
Clarification,311
Component Upgrade,9546
Quality Risk,744
Tracker,139
Library Upgrade,29
Release,1104
Technical Requirement,8
Requirement,390
Support Request,30
Docs Task,4
QE Task,616
OKR,1
New Feature,407
Ticket,252
Patch,322
CTS Challenge,10
Risk,33
Improvement,80
Release tracker,33
Vulnerability,2
Support Patch,170
Analysis,2
Incident,5
Issue,7
Doc,1
RFE,1
Closed Loop,3
Change Request,1
Request,1
