Type,Count
,67125
Duplicate,16743
Done,327160
Obsolete,26983
Test Pending,99
Cannot Reproduce,5674
Won't Do,36158
Can't Do,2230
Done-Errata,15250
Not a Bug,6811
MirrorOrphan,8
Declined,3
