System,Resolution,Count,Group
AGDROID,Won't Fix,89,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGDROID,Rejected,22,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGDROID,Duplicate Issue,27,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGDROID,Out of Date,39,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGDROID,Cannot Reproduce Bug,10,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGDROID,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGDROID,Incomplete Description,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,,161,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,Done,1013,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,Won't Fix,90,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,Rejected,24,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,Duplicate Issue,29,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,Out of Date,40,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,Cannot Reproduce Bug,10,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGIOS,Incomplete Description,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,,187,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,Done,1077,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,Won't Fix,98,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,Rejected,25,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,Duplicate Issue,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,Out of Date,40,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,Cannot Reproduce Bug,10,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGJS,Incomplete Description,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,,209,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Done,1125,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Won't Fix,99,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Rejected,25,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Duplicate Issue,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Out of Date,40,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Cannot Reproduce Bug,10,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Incomplete Description,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGOVA,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,,296,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Done,1346,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Won't Fix,112,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Rejected,29,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Duplicate Issue,37,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Out of Date,51,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Cannot Reproduce Bug,11,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Incomplete Description,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGPUSH,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,,332,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Done,1410,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Won't Fix,116,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Rejected,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Duplicate Issue,40,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Out of Date,57,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Cannot Reproduce Bug,11,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Incomplete Description,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSEC,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,,364,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Done,1411,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Won't Fix,116,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Rejected,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Duplicate Issue,40,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Out of Date,57,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Cannot Reproduce Bug,11,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Incomplete Description,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AGSMPLPUSH,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,,370,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Done,1485,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Won't Fix,129,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Rejected,45,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Duplicate Issue,45,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Out of Date,70,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Cannot Reproduce Bug,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Incomplete Description,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AJSF,Deferred,2,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,,389,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Done,1497,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Won't Fix,129,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Rejected,47,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Duplicate Issue,45,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Out of Date,70,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Cannot Reproduce Bug,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Partially Completed,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Incomplete Description,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ANDIAMO,Deferred,2,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,,784,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Done,2516,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Won't Fix,151,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Rejected,78,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Duplicate Issue,80,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Out of Date,107,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Cannot Reproduce Bug,17,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Partially Completed,6,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Incomplete Description,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Deferred,4,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQ,Migrated to another ITS,2,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,,867,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Done,2730,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Won't Fix,157,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Rejected,97,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Duplicate Issue,90,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Out of Date,128,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Cannot Reproduce Bug,20,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Partially Completed,8,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Incomplete Description,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Deferred,4,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQGRA,Migrated to another ITS,2,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,,894,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Done,2745,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Won't Fix,157,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Rejected,97,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Duplicate Issue,90,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Out of Date,128,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Cannot Reproduce Bug,20,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Partially Completed,8,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Incomplete Description,3,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Deferred,4,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ARQRUSH,Migrated to another ITS,2,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,,894,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Done,6770,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Won't Fix,288,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Rejected,480,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Duplicate Issue,280,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Out of Date,332,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Cannot Reproduce Bug,116,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Partially Completed,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Incomplete Description,13,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Deferred,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
AS7,Migrated to another ITS,5,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,,897,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Done,6974,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Won't Fix,314,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Rejected,497,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Duplicate Issue,294,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Out of Date,333,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Cannot Reproduce Bug,116,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Partially Completed,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Incomplete Description,14,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Deferred,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
ASPATCH,Migrated to another ITS,5,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,,960,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Done,7240,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Won't Fix,321,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Rejected,510,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Duplicate Issue,299,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Out of Date,337,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Cannot Reproduce Bug,130,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Partially Completed,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Deferred,32,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BGBUILD,Migrated to another ITS,5,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,,960,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Done,7492,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Won't Fix,329,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Rejected,520,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Duplicate Issue,305,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Out of Date,338,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Cannot Reproduce Bug,136,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Partially Completed,30,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Deferred,32,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BLACKTIE,Migrated to another ITS,5,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,,994,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Done,7629,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Won't Fix,330,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Rejected,525,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Duplicate Issue,305,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Out of Date,340,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Cannot Reproduce Bug,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Partially Completed,33,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Deferred,32,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPEL,Migrated to another ITS,5,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,,1016,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Done,7688,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Won't Fix,331,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Rejected,529,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Duplicate Issue,307,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Out of Date,341,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Cannot Reproduce Bug,138,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Partially Completed,33,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Deferred,32,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BPMC,Migrated to another ITS,5,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,,1016,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Done,8053,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Won't Fix,350,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Rejected,545,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Duplicate Issue,317,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Out of Date,349,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Cannot Reproduce Bug,142,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Partially Completed,33,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Deferred,32,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BRMS,Migrated to another ITS,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,,1038,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Done,8083,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Won't Fix,350,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Rejected,545,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Duplicate Issue,317,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Out of Date,349,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Cannot Reproduce Bug,142,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Partially Completed,33,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Deferred,32,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BUILDTRK,Migrated to another ITS,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,,1059,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Done,8306,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Won't Fix,352,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Rejected,552,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Duplicate Issue,320,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Out of Date,350,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Cannot Reproduce Bug,143,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Partially Completed,33,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Deferred,32,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
BYTEMAN,Migrated to another ITS,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,,1085,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Done,8472,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Won't Fix,353,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Rejected,556,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Duplicate Issue,321,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Out of Date,352,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Cannot Reproduce Bug,143,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Partially Completed,34,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Deferred,32,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CAPEDWARF,Migrated to another ITS,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,,1214,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Done,8680,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Won't Fix,357,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Rejected,591,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Duplicate Issue,342,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Out of Date,359,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Cannot Reproduce Bug,145,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Partially Completed,34,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Deferred,33,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDI,Migrated to another ITS,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,,1233,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Done,8971,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Won't Fix,360,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Rejected,612,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Duplicate Issue,347,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Out of Date,367,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Cannot Reproduce Bug,149,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Partially Completed,37,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Deferred,34,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CDITCK,Migrated to another ITS,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,,1246,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Done,9002,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Won't Fix,360,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Rejected,612,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Duplicate Issue,348,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Out of Date,368,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Cannot Reproduce Bug,152,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Partially Completed,37,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Deferred,34,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
CIRRAS,Migrated to another ITS,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,,1331,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Done,9242,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Won't Fix,365,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Rejected,614,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Duplicate Issue,351,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Out of Date,370,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Cannot Reproduce Bug,152,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Partially Completed,38,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Incomplete Description,15,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Unresolved,1,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Deferred,36,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DESIGN,Migrated to another ITS,137,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DROOLS,,1435,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DROOLS,Done,9499,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DROOLS,Won't Fix,367,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DROOLS,Rejected,631,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
DROOLS,Duplicate Issue,352,2015_Jira_Repository_Dataset_Ortu\Emotion_JBOSS
