System,Resolution,Count,Group
AMQ,Won't Fix,317,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Duplicate,309,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Cannot Reproduce,228,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQ,Unresolved,14,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Fixed,9182,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Invalid,213,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,,1438,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Not A Problem,327,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Incomplete,191,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Won't Fix,337,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Duplicate,329,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Cannot Reproduce,247,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQCPP,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Fixed,9545,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Invalid,215,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,,1452,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Not A Problem,352,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Incomplete,206,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Won't Fix,352,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Duplicate,341,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Cannot Reproduce,256,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMQNET,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Fixed,9625,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Invalid,216,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,,1509,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Not A Problem,354,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Incomplete,206,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Won't Fix,360,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Duplicate,347,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Cannot Reproduce,258,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ANY23,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Fixed,9671,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Invalid,216,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,,1512,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Not A Problem,354,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Incomplete,206,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Won't Fix,363,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Duplicate,347,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Cannot Reproduce,259,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Later,16,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Implemented,8,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Done,2,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APA,Unresolved,15,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Fixed,9938,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
APLO,Invalid,217,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
