System,Type,Count,Group
ACE,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,Bug,1302,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,Test,20,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,Improvement,811,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,Question,4,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,New Feature,144,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,Task,228,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,Wish,17,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
ADDR,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,Bug,1310,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,Test,20,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,Improvement,826,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,Question,4,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,New Feature,164,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,Task,229,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,Wish,17,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AGILA,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Bug,1723,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Test,26,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Improvement,1074,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Question,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,New Feature,277,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Task,296,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Wish,21,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Documentation,5,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AIRAVATA,Story,13,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Bug,4171,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Test,29,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Improvement,1596,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Question,6,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Suitable Name Search,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,New Feature,401,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Task,816,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Wish,22,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
AMBARI,Brainstorming,1,2015_Jira_Repository_Dataset_Ortu\Emotion_ASF
