Type,Count
Open,362
Waiting for Response,30
Resolved,76
Closed,82668
Inactive - Pending Closure,30
Reopened,1
New,764
To Be Tested,2
In Development,5
Raw,28
Waiting for Review,2
Testing In Progress,2
Done,1868
Ready for Development,8
Refine,9
Ready to Groom,6
In Progress,4
Backlog,17
To Do,19
Discovery,3
