Type,Count
Needs Scheduling,117
In Progress,171
Closed,118655
Open,11822
In Code Review,188
Investigating,116
Blocked,92
Backlog,238
Needs Triage,697
Ready for Work,21
Waiting (Blocked),429
Waiting for Reporter,8
Scheduled,71
Accepted,258
Needs Verification,7
Waiting For User Input,10
Needs Review,2
Debugging With Submitter,9
Debugging,4
Needs Design,8
Resolved,1970
Implementing,113
In Review,2
Internal Review,12
External Review,9
