Type,Count
,14401
Fixed,75416
Works as Designed,5886
Duplicate,10758
Done,9215
Won't Do,1920
Won't Fix,8897
Declined,253
Gone away,4851
Cannot Reproduce,1344
Community Answered,426
Incomplete,1662
