Type,Count
Improvement,29092
Bug,48089
Build Failure,2491
Technical Debt,162
Task,42562
New Feature,9676
Documentation,122
Workload,3
Story,287
Release,84
Investigation,218
Question,1649
Backport,49
Spec Change,279
Problem Ticket,159
Incident,33
Typo,35
Feedback,9
Doc UI,1
Doc Removal,1
Doc API,4
Design Request,3
Tracking,21
