Type,Count
,7384
Complete,24005
Invalid,2199
Works as Designed,1925
Deferred,308
Won't Fix,6021
Cannot Reproduce,1371
Incomplete,289
Duplicate,2685
Fixed,20131
Done,154
Won't Do,366
