Type,Count
,5627
Fixed,62610
Duplicate,7217
Not A Bug,705
Won't Do,476
Done,502
Won't Fix,2211
Incomplete,966
Out of scope,398
Automatically Closed,4743
Parked,108
Cannot Reproduce,341
