Type,Count
Gathering Interest,33646
Waiting for Release,205
Needs Triage,5377
Under Consideration,383
Long Term Backlog,2374
Short Term Backlog,896
Closed,215318
Gathering Impact,10319
In Progress,538
Reviewing,379
Future Consideration,422
In Review,25
RESOLVED,59
Open,23
Needs Verification,1
Not Being Considered,1715
Published,96
Waiting on Customer,1
Linguistic Backlog,10
Needs More Information,40
Product Backlog,202
Ready for Development,3
Awaiting Merge,4
Draft,2
