Type,Count
Done,105189
Duplicate Issue,4533
,19158
Won't Fix,4978
Out of Date,6460
Deferred,717
Cannot Reproduce Bug,2773
Rejected,6614
Unresolved,26
Incomplete Description,452
Migrated to another ITS,985
Partially Completed,437
Resolved at Apache,485
