Type,Count
Done,15910
To Do,3096
In Progress,260
In Review,57
Blocked,4
Won't Fix,724
Invalid,405
Reviewed,36
Closed,1496
Idea,140
Prepared,47
Open,409
Design,2
Validate,2
Resolved,15
Patch Available,2
In PR,3
