Type,Count
Improvement,243304
Bug,522541
Task,68545
New Feature,60356
Test,10137
Wish,8134
Question,2184
RTC,6
Dependency,82
Temp,43
Dependency upgrade,3628
Story,2440
Documentation,2258
Project,692
Brainstorming,236
Suitable Name Search,191
Proposal,17
Umbrella,614
New JIRA Project,142
Request,110
Technical Debt,196
Comment,6
IT Help,26
New TLP ,38
Blogs - New Blog User Account Request,14
Access,3
Blog - New Blog Request,37
Planned Work,409
Github Integration,328
TCK Challenge,15
Outage,43
New Git Repo,193
Blogs - Access to Existing Blog,12
Pending Review,13
New Confluence Wiki,68
SVN->GIT Mirroring,36
GitBox Request,169
New TLP - Common Tasks,12
SVN->GIT Migration,77
New Bugzilla Project,1
Choose from below ...,1
Requirement,1
