Type,Count
Bug,8224
Improvement,2913
Defect,1
New Feature,2021
Design,2
Feature Request,34
Support Ticket,34
Task,902
Documentation,17
Cosmetic,9
Change Request,13
Performance,129
Production Issue,5
Story,1
Setup Ticket,2
