Type,Count
Bug,160902
Enhancement,28310
Feature Request,36839
Component Upgrade,6375
Task,63764
Patch,503
Quality Risk,792
QE Task,1474
Story,17371
Improvement,102
New Feature,402
Support Patch,170
Requirement,399
Question,12
Documentation,829
Clarification,361
Issue,4
Library Upgrade,36
Request,1
Support Request,35
Dev Task,652
Docs Task,33
Business Requirement,2
Tracker,99
Release,898
Feature,884
Initiative,51
Spike,22
CTS Challenge,10
Market Problem,30
Simple Task,38
Release tracker,2
Ticket,1
Analysis,1
Incident,2
Technical Requirement,9
Risk,2
RFE,3
OKR,1
