Type,Count
Task,6194
Feature Request,5921
Bug,32997
(Deprecated) Contributed Patch,1039
Story,1
Enhancement,4
Branch,67
Idea / Feature request,1
Roadmap item,85
Improvement,3
Production/Pilot data,370
