Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
AESH-445,Bug,Resolved,AESH,Aesh,software,Done,20/06/2017 12:01,07/11/2017 13:22
AESH-444,Bug,Resolved,AESH,Aesh,software,Done,20/06/2017 11:40,07/11/2017 13:22
AESH-443,Bug,Resolved,AESH,Aesh,software,Done,13/06/2017 11:40,19/06/2017 18:28
AESH-442,Bug,Resolved,AESH,Aesh,software,Done,07/06/2017 10:43,12/06/2017 08:55
AESH-441,Bug,Resolved,AESH,Aesh,software,Done,06/06/2017 12:54,11/07/2017 17:11
AESH-440,Bug,Resolved,AESH,Aesh,software,Done,06/06/2017 12:52,26/06/2017 13:54
AESH-439,Bug,Resolved,AESH,Aesh,software,Done,06/06/2017 12:31,14/06/2017 09:03
AESH-438,Bug,Closed,AESH,Aesh,software,Done,06/06/2017 11:59,26/06/2017 13:53
AESH-437,Bug,Resolved,AESH,Aesh,software,Done,06/06/2017 11:55,15/06/2017 05:56
AESH-436,Bug,Resolved,AESH,Aesh,software,Done,23/05/2017 06:04,29/05/2017 20:14
AESH-435,Bug,Resolved,AESH,Aesh,software,Done,16/05/2017 05:46,01/06/2017 09:41
AESH-434,Bug,Resolved,AESH,Aesh,software,Done,13/04/2017 06:50,01/06/2017 09:48
AESH-433,Feature Request,Resolved,AESH,Aesh,software,Done,11/04/2017 11:42,26/06/2017 23:48
AESH-432,Feature Request,Resolved,AESH,Aesh,software,Done,23/03/2017 04:30,06/09/2017 06:10
AESH-431,Feature Request,Resolved,AESH,Aesh,software,Done,20/03/2017 07:46,29/05/2017 17:05
AESH-430,Bug,Resolved,AESH,Aesh,software,Done,06/03/2017 06:37,08/03/2017 05:15
AESH-429,Bug,Resolved,AESH,Aesh,software,Done,31/01/2017 12:25,02/02/2017 07:03
AESH-428,Bug,Resolved,AESH,Aesh,software,Done,23/12/2016 04:18,28/06/2017 17:06
AESH-427,Bug,Resolved,AESH,Aesh,software,Done,23/12/2016 04:10,26/06/2017 23:44
AESH-426,Bug,Resolved,AESH,Aesh,software,Done,10/11/2016 08:38,10/11/2016 09:45
AESH-425,Bug,Resolved,AESH,Aesh,software,Done,03/11/2016 04:53,29/05/2017 17:07
AESH-424,Bug,Resolved,AESH,Aesh,software,Done,31/10/2016 09:19,09/11/2016 12:03
AESH-423,Bug,Resolved,AESH,Aesh,software,Done,21/10/2016 06:41,01/06/2017 09:47
AESH-422,Bug,Resolved,AESH,Aesh,software,Done,20/10/2016 15:48,27/03/2018 11:21
AESH-421,Feature Request,Resolved,AESH,Aesh,software,Done,19/10/2016 08:45,13/06/2017 11:23
AESH-420,Bug,Resolved,AESH,Aesh,software,Done,19/10/2016 08:38,13/06/2017 11:23
AESH-419,Bug,Resolved,AESH,Aesh,software,Done,19/10/2016 05:54,29/05/2017 20:25
AESH-418,Bug,Resolved,AESH,Aesh,software,Done,19/10/2016 04:57,13/06/2017 11:15
AESH-417,Feature Request,Resolved,AESH,Aesh,software,Done,17/10/2016 06:36,29/05/2017 20:28
AESH-416,Enhancement,Resolved,AESH,Aesh,software,Done,17/10/2016 05:22,29/05/2017 20:51
AESH-415,Enhancement,Open,AESH,Aesh,software,,17/10/2016 05:20,
AESH-414,Enhancement,Resolved,AESH,Aesh,software,Obsolete,14/10/2016 09:26,26/06/2018 09:57
AESH-413,Bug,Resolved,AESH,Aesh,software,Done,14/10/2016 08:40,29/05/2017 20:44
AESH-412,Bug,Resolved,AESH,Aesh,software,Done,14/10/2016 08:35,29/05/2017 20:45
AESH-411,Enhancement,Resolved,AESH,Aesh,software,Done,14/10/2016 07:07,29/05/2017 17:08
AESH-410,Enhancement,Resolved,AESH,Aesh,software,Done,14/10/2016 07:00,28/06/2017 19:58
AESH-409,Bug,Resolved,AESH,Aesh,software,Done,14/10/2016 06:51,29/05/2017 17:11
AESH-408,Feature Request,Resolved,AESH,Aesh,software,Done,14/10/2016 06:35,26/06/2017 14:08
AESH-407,Bug,Resolved,AESH,Aesh,software,Done,14/10/2016 06:26,28/06/2017 17:16
AESH-406,Bug,Resolved,AESH,Aesh,software,Done,05/10/2016 10:25,13/06/2017 11:11
AESH-405,Bug,Resolved,AESH,Aesh,software,Done,04/10/2016 10:21,29/05/2017 20:34
AESH-404,Feature Request,Resolved,AESH,Aesh,software,Done,22/09/2016 10:32,09/11/2016 12:04
AESH-403,Bug,Resolved,AESH,Aesh,software,Done,09/09/2016 11:16,13/06/2017 11:10
AESH-402,Bug,Resolved,AESH,Aesh,software,Done,31/08/2016 09:56,01/09/2016 08:28
AESH-401,Feature Request,Resolved,AESH,Aesh,software,Done,29/08/2016 05:01,28/06/2017 18:50
