Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
AA-941,Bug,Closed,AA,Automation Analytics,software,Done,04/01/2022 12:12,04/01/2022 12:14
AA-936,Bug,Closed,AA,Automation Analytics,software,Done,16/12/2021 14:15,10/01/2022 18:44
AA-930,Task,Closed,AA,Automation Analytics,software,Done,15/12/2021 18:43,09/03/2022 16:35
AA-929,Bug,Closed,AA,Automation Analytics,software,Done,15/12/2021 18:01,06/04/2023 15:39
AA-928,Task,Closed,AA,Automation Analytics,software,Done,15/12/2021 13:44,13/01/2022 18:32
AA-927,Task,Closed,AA,Automation Analytics,software,Done,15/12/2021 13:40,20/12/2021 14:04
AA-926,Task,Closed,AA,Automation Analytics,software,Done,15/12/2021 13:17,22/12/2021 11:46
AA-925,Story,Closed,AA,Automation Analytics,software,Done,13/12/2021 15:25,07/01/2022 11:40
AA-924,Story,Closed,AA,Automation Analytics,software,Done,13/12/2021 15:22,10/01/2022 18:42
AA-923,Task,Closed,AA,Automation Analytics,software,Done,10/12/2021 14:32,06/01/2022 09:22
AA-922,Bug,Closed,AA,Automation Analytics,software,Done,09/12/2021 18:05,15/12/2021 17:37
AA-920,Task,Closed,AA,Automation Analytics,software,Done,08/12/2021 13:41,06/04/2023 15:37
AA-919,Task,Closed,AA,Automation Analytics,software,Done,08/12/2021 13:24,06/04/2023 15:36
AA-918,Bug,Closed,AA,Automation Analytics,software,Done,08/12/2021 13:19,10/12/2021 12:42
AA-917,Bug,Closed,AA,Automation Analytics,software,Done,08/12/2021 13:00,10/12/2021 12:41
AA-916,Story,Closed,AA,Automation Analytics,software,Done,07/12/2021 16:30,16/10/2023 15:17
AA-915,Story,Closed,AA,Automation Analytics,software,Done,07/12/2021 16:18,11/01/2022 15:20
AA-914,Bug,Closed,AA,Automation Analytics,software,Done,01/12/2021 19:56,06/12/2021 09:19
AA-913,Task,Closed,AA,Automation Analytics,software,Done,30/11/2021 15:48,21/12/2021 08:59
