Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
USHIFT-521,Bug,Closed,USHIFT,MicroShift,software,Done,27/10/2022 14:44,28/10/2022 12:16
USHIFT-520,Story,Closed,USHIFT,MicroShift,software,Done,27/10/2022 12:29,16/02/2023 18:29
USHIFT-517,Story,Closed,USHIFT,MicroShift,software,Obsolete,27/10/2022 12:11,20/09/2023 15:01
USHIFT-516,Epic,Closed,USHIFT,MicroShift,software,Done,27/10/2022 12:08,15/02/2023 16:24
USHIFT-515,Epic,Closed,USHIFT,MicroShift,software,Done,27/10/2022 12:06,01/03/2023 11:08
USHIFT-514,Bug,Closed,USHIFT,MicroShift,software,Done,27/10/2022 11:55,31/10/2022 13:21
USHIFT-511,Bug,Closed,USHIFT,MicroShift,software,Done,27/10/2022 09:54,27/10/2022 15:13
USHIFT-510,Task,Closed,USHIFT,MicroShift,software,Done,26/10/2022 16:50,26/10/2022 21:29
USHIFT-509,Task,Closed,USHIFT,MicroShift,software,Done,26/10/2022 15:17,05/08/2023 17:10
USHIFT-506,Story,Closed,USHIFT,MicroShift,software,Done,26/10/2022 07:27,26/10/2022 07:30
USHIFT-505,Bug,Closed,USHIFT,MicroShift,software,Done,25/10/2022 11:24,27/10/2022 08:37
USHIFT-504,Bug,Closed,USHIFT,MicroShift,software,Not a Bug,24/10/2022 10:05,25/10/2022 03:40
USHIFT-503,Bug,Closed,USHIFT,MicroShift,software,Done,24/10/2022 06:52,09/12/2022 16:17
USHIFT-502,Bug,Closed,USHIFT,MicroShift,software,Done,21/10/2022 22:13,07/11/2022 17:40
USHIFT-500,Story,Closed,USHIFT,MicroShift,software,Done,21/10/2022 16:20,31/10/2022 17:13
USHIFT-499,Bug,Closed,USHIFT,MicroShift,software,Done,21/10/2022 15:42,02/11/2022 19:25
USHIFT-495,Task,Closed,USHIFT,MicroShift,software,Done,20/10/2022 10:28,10/11/2022 06:10
USHIFT-493,Task,Closed,USHIFT,MicroShift,software,Done,19/10/2022 13:40,31/10/2022 17:09
USHIFT-489,Bug,Closed,USHIFT,MicroShift,software,Done,18/10/2022 19:47,25/11/2022 17:18
USHIFT-488,Bug,Closed,USHIFT,MicroShift,software,Cannot Reproduce,18/10/2022 07:25,05/12/2022 17:31
USHIFT-487,Task,Closed,USHIFT,MicroShift,software,Done,17/10/2022 14:50,26/01/2023 21:32
USHIFT-486,Story,Closed,USHIFT,MicroShift,software,Won't Do,15/10/2022 01:24,29/05/2023 08:52
USHIFT-485,Story,Closed,USHIFT,MicroShift,software,Done,15/10/2022 01:16,25/05/2023 06:01
USHIFT-484,Bug,Closed,USHIFT,MicroShift,software,Done,14/10/2022 21:12,18/10/2022 14:47
USHIFT-482,Bug,Closed,USHIFT,MicroShift,software,Done,13/10/2022 19:39,14/10/2022 21:29
USHIFT-481,Bug,Closed,USHIFT,MicroShift,software,Done,13/10/2022 15:46,25/10/2022 11:20
USHIFT-480,Bug,Closed,USHIFT,MicroShift,software,Done,13/10/2022 15:45,13/10/2022 15:47
USHIFT-467,Bug,Closed,USHIFT,MicroShift,software,Done,12/10/2022 15:30,28/10/2022 12:16
USHIFT-465,Bug,Closed,USHIFT,MicroShift,software,Cannot Reproduce,11/10/2022 21:19,25/10/2022 13:59
USHIFT-464,Spike,Closed,USHIFT,MicroShift,software,Done,11/10/2022 21:15,13/03/2023 19:09
USHIFT-463,Bug,Closed,USHIFT,MicroShift,software,Done,11/10/2022 17:20,23/11/2022 16:46
USHIFT-462,Story,Closed,USHIFT,MicroShift,software,Done,11/10/2022 12:45,13/10/2022 14:51
USHIFT-461,Task,Closed,USHIFT,MicroShift,software,Done,11/10/2022 09:36,11/10/2022 13:41
USHIFT-460,Story,Closed,USHIFT,MicroShift,software,Done,10/10/2022 22:12,31/10/2022 15:47
USHIFT-459,Bug,Closed,USHIFT,MicroShift,software,Done,10/10/2022 16:30,13/10/2022 14:56
USHIFT-458,Bug,Closed,USHIFT,MicroShift,software,Done,10/10/2022 14:24,11/10/2022 11:01
USHIFT-457,Task,Closed,USHIFT,MicroShift,software,Done,10/10/2022 12:14,12/10/2022 12:21
USHIFT-456,Bug,Closed,USHIFT,MicroShift,software,Done,10/10/2022 08:46,22/10/2022 22:37
USHIFT-455,Bug,Closed,USHIFT,MicroShift,software,Done,07/10/2022 08:05,07/10/2022 15:46
USHIFT-453,Task,Closed,USHIFT,MicroShift,software,Not a Bug,06/10/2022 16:03,17/10/2022 10:23
USHIFT-452,Task,Closed,USHIFT,MicroShift,software,Done,06/10/2022 13:32,13/10/2022 11:09
USHIFT-451,Bug,Closed,USHIFT,MicroShift,software,Done,06/10/2022 08:22,13/10/2022 14:15
USHIFT-450,Bug,Closed,USHIFT,MicroShift,software,Done,05/10/2022 16:14,06/10/2022 19:43
USHIFT-449,Bug,Closed,USHIFT,MicroShift,software,Done,05/10/2022 15:27,06/10/2022 08:52
USHIFT-447,Bug,Closed,USHIFT,MicroShift,software,Done,04/10/2022 20:55,09/12/2022 03:44
USHIFT-446,Bug,Closed,USHIFT,MicroShift,software,Not a Bug,04/10/2022 16:01,05/10/2022 15:43
USHIFT-444,Bug,Closed,USHIFT,MicroShift,software,Done,03/10/2022 16:48,02/11/2022 17:06
USHIFT-443,Bug,Closed,USHIFT,MicroShift,software,Done,03/10/2022 16:30,07/10/2022 13:50
USHIFT-441,Bug,Closed,USHIFT,MicroShift,software,Done,29/09/2022 21:17,08/12/2022 05:49
