Type,Count
Closed,82089
Open,17839
Resolved,51481
Reopened,786
Coding In Progress,154
Pull Request Sent,205
New,109
QA In Progress,10
Verified,119
Ready for QA,1
Waiting For Upstream,8
Pending Upload to Patch Repository,2
Out for Review,3
On Hold,1
