Type,Count
Bug,81004
Feature Request,31020
Task,29619
Enhancement,6795
Quality Risk,407
Patch,668
Component  Upgrade,995
Release,656
Component Upgrade,662
Support Patch,259
Clarification,165
Documentation,461
Library Upgrade,38
Tracker,20
Story,6
CTS Challenge,8
Requirement,16
Requirement ,8
