Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
HELM-105,Task,Closed,HELM,Helm,software,Done,02/02/2021 08:05,11/02/2021 09:31
HELM-103,Story,New,HELM,Helm,software,,28/01/2021 12:05,
HELM-102,Task,Closed,HELM,Helm,software,Done,28/01/2021 11:19,02/02/2021 08:02
HELM-101,Task,Closed,HELM,Helm,software,Done,28/01/2021 07:56,31/01/2021 06:13
HELM-100,Task,Closed,HELM,Helm,software,Done,25/01/2021 05:48,28/01/2021 07:45
HELM-98,Story,Closed,HELM,Helm,software,Obsolete,20/01/2021 13:56,16/11/2022 20:10
HELM-97,Story,Closed,HELM,Helm,software,Obsolete,20/01/2021 13:37,16/11/2022 20:09
HELM-96,Story,Closed,HELM,Helm,software,Obsolete,20/01/2021 13:11,16/11/2022 20:09
HELM-95,Story,Closed,HELM,Helm,software,Obsolete,17/01/2021 03:02,16/11/2022 20:07
HELM-92,Story,Closed,HELM,Helm,software,Done,17/01/2021 10:15,28/01/2021 09:19
HELM-91,Story,Closed,HELM,Helm,software,Obsolete,16/01/2021 14:34,19/01/2021 08:16
HELM-89,Story,New,HELM,Helm,software,,15/01/2021 14:03,
HELM-88,Story,Closed,HELM,Helm,software,Won't Do,15/01/2021 13:36,16/11/2022 20:05
HELM-87,Story,Closed,HELM,Helm,software,Done,15/01/2021 13:35,26/04/2022 10:20
HELM-85,Story,Closed,HELM,Helm,software,Won't Do,15/01/2021 07:14,16/11/2022 20:03
HELM-73,Task,Closed,HELM,Helm,software,Done,11/01/2021 09:38,19/01/2021 07:30
HELM-65,Story,New,HELM,Helm,software,,20/12/2020 14:55,
HELM-64,Story,New,HELM,Helm,software,,20/12/2020 14:54,
HELM-63,Story,New,HELM,Helm,software,,20/12/2020 14:53,
HELM-62,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:53,13/04/2023 14:39
HELM-61,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:49,07/04/2021 06:04
HELM-60,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:48,09/02/2021 08:24
HELM-59,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:47,01/02/2021 07:35
HELM-58,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:44,01/02/2021 05:33
HELM-57,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:41,28/01/2021 04:43
HELM-56,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:41,08/02/2021 06:34
HELM-55,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:36,25/01/2021 07:49
HELM-54,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:34,09/02/2021 07:57
HELM-53,Story,Closed,HELM,Helm,software,Done,20/12/2020 14:33,15/04/2021 12:51
HELM-52,Story,Closed,HELM,Helm,software,Done,16/12/2020 08:24,18/01/2021 11:52
HELM-51,Story,New,HELM,Helm,software,,14/12/2020 16:38,
HELM-50,Story,Closed,HELM,Helm,software,Done,14/12/2020 16:20,17/03/2022 17:49
HELM-48,Story,Closed,HELM,Helm,software,Obsolete,08/12/2020 08:09,
HELM-47,Story,Closed,HELM,Helm,software,Done,08/12/2020 05:12,15/12/2020 03:07
