Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
APPAI-1996,Story,Closed,APPAI,OpenShift App Analytics,software,Done,23/08/2021 06:52,30/08/2021 05:11
APPAI-1995,Story,Closed,APPAI,OpenShift App Analytics,software,Done,22/08/2021 22:32,01/12/2021 05:46
APPAI-1994,Story,Closed,APPAI,OpenShift App Analytics,software,Done,22/08/2021 22:29,01/12/2021 05:46
APPAI-1993,Story,In Progress,APPAI,OpenShift App Analytics,software,,20/08/2021 06:56,
APPAI-1992,Story,Closed,APPAI,OpenShift App Analytics,software,Done,20/08/2021 06:49,30/08/2021 05:08
APPAI-1991,Story,Closed,APPAI,OpenShift App Analytics,software,Done,20/08/2021 06:48,30/08/2021 16:23
APPAI-1990,Story,Closed,APPAI,OpenShift App Analytics,software,Done,19/08/2021 07:19,20/10/2021 05:56
APPAI-1989,Task,Closed,APPAI,OpenShift App Analytics,software,Done,19/08/2021 04:58,23/09/2021 05:20
APPAI-1988,Story,Closed,APPAI,OpenShift App Analytics,software,Done,19/08/2021 04:57,01/09/2021 13:27
APPAI-1987,Task,Closed,APPAI,OpenShift App Analytics,software,Done,19/08/2021 04:54,07/09/2021 05:49
APPAI-1986,Story,Closed,APPAI,OpenShift App Analytics,software,Done,19/08/2021 04:29,22/09/2021 04:45
APPAI-1985,Task,Closed,APPAI,OpenShift App Analytics,software,Done,12/08/2021 07:22,12/08/2021 07:22
APPAI-1984,Task,Closed,APPAI,OpenShift App Analytics,software,Done,12/08/2021 07:17,12/08/2021 07:22
APPAI-1983,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,11/08/2021 06:19,12/08/2021 07:14
APPAI-1982,Bug,Closed,APPAI,OpenShift App Analytics,software,Done,11/08/2021 05:43,12/08/2021 07:13
APPAI-1981,Story,Closed,APPAI,OpenShift App Analytics,software,Done,10/08/2021 12:05,23/08/2021 05:11
APPAI-1980,Story,Closed,APPAI,OpenShift App Analytics,software,Done,10/08/2021 05:10,10/08/2021 05:12
APPAI-1979,Story,To Do,APPAI,OpenShift App Analytics,software,,09/08/2021 10:28,
APPAI-1978,Story,To Do,APPAI,OpenShift App Analytics,software,,09/08/2021 10:25,
APPAI-1977,Epic,To Do,APPAI,OpenShift App Analytics,software,,09/08/2021 10:20,
APPAI-1976,Story,To Do,APPAI,OpenShift App Analytics,software,,09/08/2021 10:08,
APPAI-1975,Story,Closed,APPAI,OpenShift App Analytics,software,Done,09/08/2021 07:50,17/08/2021 07:20
APPAI-1974,Story,Closed,APPAI,OpenShift App Analytics,software,Done,09/08/2021 07:46,11/08/2021 06:28
