Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
KFLUXUI-135,Task,Closed,KFLUXUI,Konflux UI,software,,24/10/2024 14:33,
KFLUXUI-134,Task,Closed,KFLUXUI,Konflux UI,software,Won't Do,24/10/2024 14:29,24/10/2024 14:32
KFLUXUI-133,Task,Closed,KFLUXUI,Konflux UI,software,Won't Do,24/10/2024 14:28,24/10/2024 14:32
KFLUXUI-132,Task,Closed,KFLUXUI,Konflux UI,software,Done,24/10/2024 14:27,24/10/2024 14:27
KFLUXUI-131,Task,Closed,KFLUXUI,Konflux UI,software,Done,24/10/2024 14:24,24/10/2024 14:27
KFLUXUI-130,Task,New,KFLUXUI,Konflux UI,software,,24/10/2024 09:12,
KFLUXUI-129,Story,New,KFLUXUI,Konflux UI,software,,23/10/2024 10:47,
KFLUXUI-128,Story,Backlog,KFLUXUI,Konflux UI,software,,05/06/2024 16:08,
KFLUXUI-127,Story,Backlog,KFLUXUI,Konflux UI,software,,07/06/2024 15:34,
KFLUXUI-126,Story,Backlog,KFLUXUI,Konflux UI,software,,20/10/2023 06:21,
KFLUXUI-125,Story,Review,KFLUXUI,Konflux UI,software,,27/09/2023 19:13,
KFLUXUI-124,Story,Backlog,KFLUXUI,Konflux UI,software,,23/11/2023 15:43,
KFLUXUI-123,Story,Backlog,KFLUXUI,Konflux UI,software,,20/06/2024 14:02,
KFLUXUI-122,Story,In Progress,KFLUXUI,Konflux UI,software,,10/04/2024 13:00,
KFLUXUI-121,Story,Backlog,KFLUXUI,Konflux UI,software,,22/11/2023 10:01,
KFLUXUI-120,Story,Release Pending,KFLUXUI,Konflux UI,software,Done,12/04/2024 14:58,05/11/2024 14:42
KFLUXUI-119,Story,Backlog,KFLUXUI,Konflux UI,software,,09/02/2023 15:37,
KFLUXUI-118,Story,In Progress,KFLUXUI,Konflux UI,software,,27/09/2024 11:44,
KFLUXUI-117,Story,Backlog,KFLUXUI,Konflux UI,software,,27/09/2023 17:17,
KFLUXUI-116,Story,Backlog,KFLUXUI,Konflux UI,software,,09/02/2023 15:54,
KFLUXUI-115,Task,Closed,KFLUXUI,Konflux UI,software,Done,23/10/2024 11:45,04/11/2024 08:01
KFLUXUI-114,Epic,Closed,KFLUXUI,Konflux UI,software,Won't Do,12/06/2024 08:13,31/10/2024 13:20
KFLUXUI-69,Task,Closed,KFLUXUI,Konflux UI,software,Won't Do,28/11/2023 14:56,04/11/2024 10:44
KFLUXUI-68,Task,New,KFLUXUI,Konflux UI,software,,10/05/2023 08:24,
KFLUXUI-67,Task,Closed,KFLUXUI,Konflux UI,software,Won't Do,15/08/2023 16:01,04/11/2024 11:39
KFLUXUI-66,Task,New,KFLUXUI,Konflux UI,software,,15/11/2023 10:19,
KFLUXUI-65,Task,New,KFLUXUI,Konflux UI,software,,11/11/2021 07:17,
KFLUXUI-64,Task,New,KFLUXUI,Konflux UI,software,,06/12/2022 09:46,
KFLUXUI-63,Task,New,KFLUXUI,Konflux UI,software,,25/07/2024 11:46,
KFLUXUI-62,Task,New,KFLUXUI,Konflux UI,software,,23/01/2023 12:20,
KFLUXUI-61,Task,Closed,KFLUXUI,Konflux UI,software,Obsolete,04/04/2023 12:22,04/11/2024 11:38
KFLUXUI-60,Task,New,KFLUXUI,Konflux UI,software,,28/08/2023 07:34,
KFLUXUI-59,Task,Closed,KFLUXUI,Konflux UI,software,Won't Do,20/03/2023 13:56,04/11/2024 10:46
KFLUXUI-58,Task,New,KFLUXUI,Konflux UI,software,,06/12/2022 09:44,
KFLUXUI-57,Task,Closed,KFLUXUI,Konflux UI,software,Obsolete,27/07/2023 10:21,25/10/2024 10:17
KFLUXUI-56,Task,Closed,KFLUXUI,Konflux UI,software,Won't Do,01/08/2023 10:45,04/11/2024 10:23
KFLUXUI-55,Task,New,KFLUXUI,Konflux UI,software,,03/10/2023 10:34,
KFLUXUI-54,Story,Closed,KFLUXUI,Konflux UI,software,Done,29/08/2024 13:03,11/11/2024 14:07
KFLUXUI-53,Task,New,KFLUXUI,Konflux UI,software,,31/03/2023 16:21,
KFLUXUI-52,Story,Closed,KFLUXUI,Konflux UI,software,Done,29/08/2024 12:57,11/11/2024 14:08
KFLUXUI-51,Task,Closed,KFLUXUI,Konflux UI,software,Won't Do,25/06/2024 09:53,04/11/2024 11:41
KFLUXUI-50,Task,New,KFLUXUI,Konflux UI,software,,25/07/2023 10:40,
KFLUXUI-49,Task,New,KFLUXUI,Konflux UI,software,,04/10/2023 09:43,
KFLUXUI-48,Task,New,KFLUXUI,Konflux UI,software,,05/06/2023 09:47,
