Type,Count
Won't Finish,132
Fixed,767
,173
Released,162
Accepted,9
Incomplete,159
Triaged,2
Expected Behavior,6
Cannot Reproduce,2
Duplicate,74
Not Applicable,49
Unactionable,1
Done,2
