Type,Count
Improvement,80136
Bug,209365
Task,18607
New Feature,24127
Wish,2839
RTC,13
Temp,33
Test,2981
Question,518
Dependency upgrade,447
Documentation,157
Brainstorming,80
Technical task,60
Suitable Name Search,47
Story,213
Umbrella,62
TCK Challenge,13
New JIRA Project,86
