Type,Count
Done,216
In Review,33
In Progress,100
Backlog,746
Complete,6082
To Do,570
Planning,1
Won't Fix,16
Invalid,87
Duplicate,16
New,386
Code Review,10
To Test,2
To Develop,120
Closed,13642
Returned,20
Unverified,137
In CR Review,38
