Type,Count
,57592
Cannot Reproduce,3617
Fixed,74527
Duplicate,24595
Incorrectly Filed,169
Invalid,5246
Resolved Locally,995
Done,1378
Incomplete,470
Spam,279
Not a bug,3424
Answered,11232
Unsolved Mysteries,248
Timed out,15389
Obsolete,10511
Handled by Support,2453
Won't Fix,38170
Won't Do,12538
Tracked Elsewhere,2787
Support Request,4551
Deployed,134
Low Engagement,1733
