Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
PMUAPP-654,313760,PMUAPP,,software,Done,Bug,26/10/2016 10:28,27/10/2016 10:01
PMUAPP-653,313757,PMUAPP,,software,Done,Bug,26/10/2016 10:17,27/10/2016 09:57
PMUAPP-652,313752,PMUAPP,,software,Done,Bug,26/10/2016 09:59,27/10/2016 09:58
PMUAPP-651,313750,PMUAPP,,software,Done,Bug,26/10/2016 09:56,27/10/2016 10:06
PMUAPP-650,313741,PMUAPP,,software,Done,Bug,26/10/2016 09:37,27/10/2016 09:03
PMUAPP-649,313739,PMUAPP,,software,Done,Bug,26/10/2016 09:33,22/11/2016 10:58
PMUAPP-648,313736,PMUAPP,,software,Done,Bug,26/10/2016 09:17,26/10/2016 12:58
PMUAPP-647,313732,PMUAPP,,software,Done,Bug,26/10/2016 09:07,18/11/2016 08:47
PMUAPP-646,313697,PMUAPP,,software,Done,Bug,25/10/2016 17:10,26/10/2016 09:38
PMUAPP-645,313694,PMUAPP,,software,Done,Task,25/10/2016 16:49,26/10/2016 12:58
PMUAPP-644,313682,PMUAPP,,software,Done,Task,25/10/2016 16:35,22/11/2016 10:58
PMUAPP-643,313681,PMUAPP,,software,Done,Task,25/10/2016 16:34,22/11/2016 10:58
PMUAPP-642,313658,PMUAPP,,software,Done,Bug,25/10/2016 15:44,26/10/2016 12:58
PMUAPP-641,313644,PMUAPP,,software,Done,Bug,25/10/2016 15:21,26/10/2016 12:59
PMUAPP-640,313638,PMUAPP,,software,Done,Bug,25/10/2016 15:08,26/10/2016 09:21
PMUAPP-639,313578,PMUAPP,,software,Done,Bug,25/10/2016 13:04,26/10/2016 09:38
PMUAPP-638,313437,PMUAPP,,software,Done,Improvement,24/10/2016 15:29,22/11/2016 10:58
PMUAPP-637,313425,PMUAPP,,software,To Do,Task,24/10/2016 14:47,
PMUAPP-636,313329,PMUAPP,,software,To Do,Task,24/10/2016 11:51,
PMUAPP-635,313327,PMUAPP,,software,To Do,Task,24/10/2016 11:50,
PMUAPP-634,313324,PMUAPP,,software,Done,Bug,24/10/2016 11:47,25/10/2016 12:45
PMUAPP-633,313212,PMUAPP,,software,Done,Bug,24/10/2016 09:31,26/10/2016 09:38
PMUAPP-632,313197,PMUAPP,,software,Done,Bug,24/10/2016 09:09,25/10/2016 12:46
PMUAPP-631,313168,PMUAPP,,software,Done,Bug,22/10/2016 15:44,25/10/2016 12:58
PMUAPP-630,313167,PMUAPP,,software,To Do,Task,22/10/2016 14:48,
