Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
GOODIMNG-88,40723,GOODIMNG,,software,Resolved,Sub-task,14/09/2010 15:41,26/11/2010 16:53
GOODIMNG-87,40722,GOODIMNG,,software,Resolved,Sub-task,14/09/2010 15:40,05/10/2010 10:51
GOODIMNG-86,40632,GOODIMNG,,software,Resolved,Sub-task,13/09/2010 12:18,28/09/2010 16:42
GOODIMNG-85,40631,GOODIMNG,,software,Resolved,Sub-task,13/09/2010 12:17,14/09/2010 15:14
GOODIMNG-84,40614,GOODIMNG,,software,Resolved,Meeting,13/09/2010 10:38,28/09/2010 16:30
GOODIMNG-83,40613,GOODIMNG,,software,Resolved,Meeting,13/09/2010 10:35,22/10/2010 08:37
GOODIMNG-82,40612,GOODIMNG,,software,Resolved,Meeting,13/09/2010 10:34,20/10/2010 09:38
GOODIMNG-81,40610,GOODIMNG,,software,Resolved,Meeting,13/09/2010 10:33,15/10/2010 15:00
GOODIMNG-80,40608,GOODIMNG,,software,Resolved,Meeting,13/09/2010 10:30,24/09/2010 10:11
GOODIMNG-79,40551,GOODIMNG,,software,Closed,Sub-task,10/09/2010 12:23,17/09/2010 10:38
GOODIMNG-78,40535,GOODIMNG,,software,Resolved,Sub-task,10/09/2010 09:09,11/10/2010 15:49
GOODIMNG-77,40482,GOODIMNG,,software,Resolved,Sub-task,09/09/2010 12:32,01/10/2010 15:51
GOODIMNG-76,40481,GOODIMNG,,software,Resolved,Sub-task,09/09/2010 12:32,23/09/2010 13:14
GOODIMNG-75,40430,GOODIMNG,,software,Resolved,Sub-task,09/09/2010 09:53,10/09/2010 16:05
GOODIMNG-74,40340,GOODIMNG,,software,Resolved,Sub-task,08/09/2010 12:17,10/09/2010 16:34
GOODIMNG-73,40339,GOODIMNG,,software,Resolved,Sub-task,08/09/2010 12:14,29/09/2010 11:39
GOODIMNG-72,40338,GOODIMNG,,software,Resolved,Sub-task,08/09/2010 12:13,17/09/2010 14:41
GOODIMNG-71,39474,GOODIMNG,,software,Resolved,Task,06/09/2010 09:31,06/09/2010 16:31
GOODIMNG-70,38533,GOODIMNG,,software,Resolved,Bug,03/09/2010 15:46,07/09/2010 13:11
GOODIMNG-69,38512,GOODIMNG,,software,Closed,Bug,03/09/2010 12:41,08/09/2010 12:12
