Issue key,Issue id,Project key,Project name,Project type,Status,Issue Type,Created,Resolved
P4DPIII-186,656714,P4DPIII,,software,Done,Bug,08/01/2020 15:53,16/01/2020 14:09
P4DPIII-185,656713,P4DPIII,,software,Done,Bug,08/01/2020 15:53,16/01/2020 14:08
P4DPIII-184,656712,P4DPIII,,software,Done,Bug,08/01/2020 15:53,16/01/2020 14:08
P4DPIII-183,656268,P4DPIII,,software,Done,Bug,07/01/2020 08:53,17/01/2020 10:33
P4DPIII-182,656267,P4DPIII,,software,Done,Bug,07/01/2020 08:52,17/01/2020 12:14
P4DPIII-181,656109,P4DPIII,,software,To Do,Test,03/01/2020 15:52,
P4DPIII-180,656106,P4DPIII,,software,To Do,Test,03/01/2020 15:38,
P4DPIII-179,655959,P4DPIII,,software,To Do,Test,02/01/2020 15:44,
P4DPIII-178,655938,P4DPIII,,software,To Do,Test,02/01/2020 14:49,
P4DPIII-177,655476,P4DPIII,,software,On Hold,Task,24/12/2019 15:04,
P4DPIII-176,655475,P4DPIII,,software,Done,Bug,24/12/2019 14:54,23/03/2020 17:25
P4DPIII-175,655288,P4DPIII,,software,Done,Bug,20/12/2019 15:45,30/12/2019 11:24
P4DPIII-174,654938,P4DPIII,,software,Done,Bug,19/12/2019 13:28,07/02/2020 16:25
P4DPIII-173,654932,P4DPIII,,software,To Do,Test,19/12/2019 13:02,
P4DPIII-172,654903,P4DPIII,,software,To Do,Test,19/12/2019 11:13,
P4DPIII-171,654895,P4DPIII,,software,To Do,Test,19/12/2019 10:43,
P4DPIII-170,654893,P4DPIII,,software,To Do,Test,19/12/2019 10:38,
P4DPIII-169,654751,P4DPIII,,software,To Do,Test,18/12/2019 13:04,
P4DPIII-168,654749,P4DPIII,,software,To Do,Test,18/12/2019 13:04,
P4DPIII-167,654748,P4DPIII,,software,To Do,Test,18/12/2019 13:04,
P4DPIII-166,654747,P4DPIII,,software,To Do,Test,18/12/2019 13:03,
P4DPIII-165,654745,P4DPIII,,software,To Do,Test,18/12/2019 13:02,
P4DPIII-164,654697,P4DPIII,,software,To Do,Test,18/12/2019 11:12,
P4DPIII-163,654695,P4DPIII,,software,To Do,Test,18/12/2019 11:05,
P4DPIII-162,654693,P4DPIII,,software,To Do,Test,18/12/2019 11:04,
P4DPIII-161,654690,P4DPIII,,software,To Do,Test,18/12/2019 10:59,
P4DPIII-160,654615,P4DPIII,,software,On Hold,Bug,17/12/2019 17:53,
P4DPIII-159,654614,P4DPIII,,software,To Do,Task,17/12/2019 17:50,
P4DPIII-158,654613,P4DPIII,,software,To Do,Task,17/12/2019 17:48,
P4DPIII-157,654541,P4DPIII,,software,To Do,Bug,17/12/2019 14:37,
P4DPIII-156,654540,P4DPIII,,software,Done,Task,17/12/2019 14:22,19/05/2020 12:12
P4DPIII-155,654432,P4DPIII,,software,To Do,Test,17/12/2019 10:28,
P4DPIII-154,654347,P4DPIII,,software,To Do,Task,16/12/2019 16:58,
P4DPIII-153,650233,P4DPIII,,software,Done,Task,22/11/2019 11:59,18/02/2020 11:18
P4DPIII-152,653931,P4DPIII,,software,Done,Task,12/12/2019 17:44,17/03/2020 16:16
P4DPIII-151,653831,P4DPIII,,software,Done,Bug,12/12/2019 12:22,12/12/2019 14:57
P4DPIII-150,653708,P4DPIII,,software,Done,Task,11/12/2019 13:43,16/03/2020 14:44
P4DPIII-149,653496,P4DPIII,,software,Done,Bug,10/12/2019 14:46,12/12/2019 13:15
P4DPIII-148,653244,P4DPIII,,software,Done,Bug,09/12/2019 12:18,10/12/2019 14:47
P4DPIII-147,653178,P4DPIII,,software,Done,Bug,09/12/2019 08:28,10/12/2019 16:17
P4DPIII-146,653143,P4DPIII,,software,Done,Task,06/12/2019 16:16,10/12/2019 15:11
P4DPIII-145,652973,P4DPIII,,software,Done,Task,06/12/2019 10:48,09/12/2019 13:41
P4DPIII-144,652971,P4DPIII,,software,Done,Bug,06/12/2019 10:46,06/12/2019 13:22
P4DPIII-143,652919,P4DPIII,,software,To Do,Test,06/12/2019 08:35,
P4DPIII-142,652918,P4DPIII,,software,To Do,Test,06/12/2019 08:34,
P4DPIII-141,652915,P4DPIII,,software,To Do,Test,06/12/2019 08:26,
P4DPIII-140,652914,P4DPIII,,software,To Do,Test,06/12/2019 08:25,
P4DPIII-139,652913,P4DPIII,,software,To Do,Test,06/12/2019 08:18,
P4DPIII-138,652911,P4DPIII,,software,To Do,Test,06/12/2019 08:17,
P4DPIII-137,652783,P4DPIII,,software,Done,Task,05/12/2019 11:35,06/12/2019 10:49
P4DPIII-136,652770,P4DPIII,,software,Done,Bug,05/12/2019 11:02,09/12/2019 08:15
P4DPIII-135,652554,P4DPIII,,software,Done,Bug,04/12/2019 12:01,16/12/2019 15:17
P4DPIII-134,652393,P4DPIII,,software,Done,Task,03/12/2019 15:35,03/02/2020 11:21
P4DPIII-133,652133,P4DPIII,,software,Done,Bug,03/12/2019 08:23,06/12/2019 13:21
P4DPIII-132,652126,P4DPIII,,software,Done,Bug,03/12/2019 07:51,09/12/2019 13:34
P4DPIII-131,651809,P4DPIII,,software,Done,Task,29/11/2019 14:59,10/02/2020 14:58
P4DPIII-130,649153,P4DPIII,,software,Done,Bug,18/11/2019 12:19,06/12/2019 09:22
P4DPIII-129,650991,P4DPIII,,software,Done,Bug,27/11/2019 07:34,29/11/2019 12:09
