Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
RESMOB-95,667048,RESMOB,,software,Done,Task,12/03/2020 16:25,12/03/2020 17:20
RESMOB-94,666982,RESMOB,,software,Done,Bug,12/03/2020 11:57,12/03/2020 12:50
RESMOB-93,666881,RESMOB,,software,Done,Task,11/03/2020 15:46,12/03/2020 11:09
RESMOB-92,666496,RESMOB,,software,Done,Bug,10/03/2020 13:25,11/03/2020 08:56
RESMOB-91,666145,RESMOB,,software,Done,Task,06/03/2020 15:29,10/03/2020 13:22
RESMOB-90,666142,RESMOB,,software,Done,Task,06/03/2020 15:05,09/03/2020 08:48
RESMOB-89,666082,RESMOB,,software,Done,Task,06/03/2020 11:44,16/03/2020 08:32
RESMOB-88,665812,RESMOB,,software,In progress,Epic,05/03/2020 10:53,
RESMOB-87,665781,RESMOB,,software,Done,Bug,05/03/2020 10:14,09/03/2020 08:48
RESMOB-86,665767,RESMOB,,software,Done,Bug,05/03/2020 09:57,06/03/2020 15:21
RESMOB-85,665484,RESMOB,,software,Done,Task,03/03/2020 15:00,04/03/2020 11:37
RESMOB-84,665368,RESMOB,,software,Done,Task,03/03/2020 09:32,13/03/2020 11:11
RESMOB-83,665337,RESMOB,,software,Done,Task,02/03/2020 21:21,03/03/2020 14:46
RESMOB-82,665157,RESMOB,,software,Done,Bug,02/03/2020 11:39,02/03/2020 14:43
RESMOB-81,665152,RESMOB,,software,Done,Bug,02/03/2020 11:17,02/03/2020 14:42
RESMOB-80,665150,RESMOB,,software,Done,Bug,02/03/2020 11:13,02/03/2020 13:15
RESMOB-79,664994,RESMOB,,software,Done,Task,28/02/2020 16:30,02/03/2020 09:46
RESMOB-78,664656,RESMOB,,software,To Do,Task,27/02/2020 12:53,
RESMOB-77,664648,RESMOB,,software,Done,Bug,27/02/2020 12:29,02/03/2020 08:04
RESMOB-76,664634,RESMOB,,software,Done,Task,27/02/2020 11:16,02/03/2020 09:46
RESMOB-75,664427,RESMOB,,software,Done,Task,26/02/2020 17:28,27/02/2020 14:14
RESMOB-74,662930,RESMOB,,software,Done,Task,17/02/2020 11:54,18/02/2020 08:43
RESMOB-73,662921,RESMOB,,software,Done,Task,17/02/2020 11:05,13/03/2020 07:18
RESMOB-72,662849,RESMOB,,software,Done,Bug,17/02/2020 09:52,17/02/2020 11:08
RESMOB-71,662836,RESMOB,,software,Done,Bug,17/02/2020 09:04,17/02/2020 15:39
RESMOB-70,662780,RESMOB,,software,Done,Task,14/02/2020 14:44,03/03/2020 15:10
RESMOB-69,662745,RESMOB,,software,Done,Task,14/02/2020 12:48,17/02/2020 11:03
RESMOB-68,662744,RESMOB,,software,Done,Task,14/02/2020 12:44,17/02/2020 11:02
RESMOB-67,662715,RESMOB,,software,Done,Task,14/02/2020 11:01,14/02/2020 14:36
RESMOB-66,662710,RESMOB,,software,Done,Task,14/02/2020 10:59,14/02/2020 14:36
RESMOB-65,662707,RESMOB,,software,Done,Task,14/02/2020 10:57,18/02/2020 10:31
RESMOB-64,662418,RESMOB,,software,Done,Task,13/02/2020 08:04,02/03/2020 09:46
RESMOB-63,662411,RESMOB,,software,Done,Task,13/02/2020 07:32,13/03/2020 11:11
RESMOB-62,662410,RESMOB,,software,Done,Task,13/02/2020 07:31,14/02/2020 14:40
RESMOB-61,662353,RESMOB,,software,Done,Task,12/02/2020 14:52,13/02/2020 12:46
RESMOB-60,662326,RESMOB,,software,Done,Task,12/02/2020 14:20,13/03/2020 07:27
RESMOB-59,662313,RESMOB,,software,Done,Task,12/02/2020 13:23,13/02/2020 11:46
RESMOB-58,662293,RESMOB,,software,Done,Bug,12/02/2020 12:41,17/02/2020 11:11
RESMOB-57,662274,RESMOB,,software,Done,Task,12/02/2020 12:18,26/02/2020 10:47
RESMOB-56,662272,RESMOB,,software,Done,Task,12/02/2020 12:17,14/02/2020 14:33
RESMOB-55,662262,RESMOB,,software,Done,Task,12/02/2020 12:08,13/02/2020 11:45
RESMOB-54,661885,RESMOB,,software,Done,Task,10/02/2020 15:41,21/02/2020 13:25
RESMOB-53,661884,RESMOB,,software,Done,Task,10/02/2020 15:40,17/02/2020 09:17
RESMOB-52,661755,RESMOB,,software,Done,Task,10/02/2020 10:33,11/02/2020 13:00
RESMOB-51,661504,RESMOB,,software,Done,Task,07/02/2020 09:17,11/02/2020 13:00
RESMOB-50,660826,RESMOB,,software,Done,Bug,04/02/2020 12:50,10/02/2020 10:31
RESMOB-49,660825,RESMOB,,software,Done,Task,04/02/2020 12:48,06/02/2020 12:09
RESMOB-48,660683,RESMOB,,software,Done,Bug,03/02/2020 14:56,02/03/2020 10:31
RESMOB-47,660682,RESMOB,,software,Done,Bug,03/02/2020 14:54,07/02/2020 09:08
RESMOB-46,659706,RESMOB,,software,Done,Bug,28/01/2020 11:57,16/03/2020 08:32
RESMOB-45,659428,RESMOB,,software,Done,Task,27/01/2020 10:27,10/02/2020 10:30
RESMOB-44,659260,RESMOB,,software,Done,Task,24/01/2020 10:13,27/01/2020 10:26
RESMOB-43,659226,RESMOB,,software,Done,Task,24/01/2020 08:47,28/01/2020 11:58
RESMOB-42,658984,RESMOB,,software,Done,Bug,22/01/2020 16:02,23/01/2020 13:50
RESMOB-41,658882,RESMOB,,software,Done,Sub-task,22/01/2020 09:48,10/02/2020 10:30
RESMOB-40,658802,RESMOB,,software,Done,Task,21/01/2020 14:45,10/02/2020 10:31
RESMOB-39,658800,RESMOB,,software,Done,Task,21/01/2020 14:37,23/01/2020 13:50
RESMOB-38,658799,RESMOB,,software,Done,Task,21/01/2020 14:36,23/01/2020 13:51
RESMOB-37,658798,RESMOB,,software,Done,Task,21/01/2020 14:36,23/01/2020 13:50
RESMOB-36,658796,RESMOB,,software,Done,Bug,21/01/2020 14:28,24/01/2020 15:28
RESMOB-35,658041,RESMOB,,software,Done,Sub-task,16/01/2020 15:00,10/02/2020 15:39
RESMOB-34,657882,RESMOB,,software,Done,Sub-task,16/01/2020 09:55,21/01/2020 12:27
RESMOB-33,657801,RESMOB,,software,Done,Task,15/01/2020 14:55,06/03/2020 13:55
RESMOB-32,657606,RESMOB,,software,Done,Sub-task,15/01/2020 09:03,15/01/2020 12:21
