Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
FSSECSUP-41,156616,FSSECSUP,,software,Resolved,Improvement,08/01/2014 08:38,27/01/2014 12:32
FSSECSUP-40,154845,FSSECSUP,,software,Resolved,Note,04/12/2013 19:23,04/12/2013 19:23
FSSECSUP-39,154523,FSSECSUP,,software,Resolved,Task,02/12/2013 12:47,04/12/2013 10:18
FSSECSUP-38,154046,FSSECSUP,,software,Resolved,Improvement,26/11/2013 12:28,17/12/2013 14:37
FSSECSUP-37,154043,FSSECSUP,,software,Resolved,Improvement,26/11/2013 12:19,13/12/2013 09:31
FSSECSUP-36,154042,FSSECSUP,,software,Resolved,Improvement,26/11/2013 12:13,10/12/2013 12:16
FSSECSUP-35,153177,FSSECSUP,,software,Resolved,Bug,14/11/2013 14:52,15/11/2013 13:56
FSSECSUP-34,150538,FSSECSUP,,software,Closed,Note,14/10/2013 11:38,20/11/2013 15:16
FSSECSUP-33,150487,FSSECSUP,,software,Resolved,Task,11/10/2013 14:26,11/10/2013 14:42
FSSECSUP-32,150432,FSSECSUP,,software,Resolved,Improvement,10/10/2013 21:20,15/10/2013 13:13
FSSECSUP-31,150431,FSSECSUP,,software,Resolved,Bug,10/10/2013 21:14,15/10/2013 13:12
FSSECSUP-30,149849,FSSECSUP,,software,Closed,Note,04/10/2013 10:16,11/10/2013 14:24
FSSECSUP-29,149597,FSSECSUP,,software,Resolved,Bug,01/10/2013 23:19,04/10/2013 10:20
FSSECSUP-28,149583,FSSECSUP,,software,Resolved,Bug,01/10/2013 16:56,11/10/2013 14:44
FSSECSUP-27,148814,FSSECSUP,,software,Resolved,Bug,25/09/2013 13:22,04/10/2013 10:19
FSSECSUP-26,147675,FSSECSUP,,software,Resolved,Bug,09/09/2013 13:34,11/10/2013 14:37
FSSECSUP-25,147584,FSSECSUP,,software,Closed,Note,06/09/2013 15:39,03/10/2013 09:14
FSSECSUP-24,147573,FSSECSUP,,software,Closed,Bug,06/09/2013 14:17,06/09/2013 15:41
FSSECSUP-23,147559,FSSECSUP,,software,Closed,Note,06/09/2013 12:16,19/09/2013 14:51
FSSECSUP-22,147158,FSSECSUP,,software,Resolved,Improvement,02/09/2013 12:39,14/10/2013 11:18
FSSECSUP-21,147122,FSSECSUP,,software,Resolved,Note,02/09/2013 08:49,03/12/2013 13:29
FSSECSUP-20,146903,FSSECSUP,,software,Resolved,Improvement,28/08/2013 15:38,15/10/2013 13:13
FSSECSUP-19,146902,FSSECSUP,,software,Resolved,Improvement,28/08/2013 15:30,23/09/2013 14:18
FSSECSUP-18,146901,FSSECSUP,,software,Closed,Bug,28/08/2013 15:25,06/09/2013 12:18
FSSECSUP-17,146796,FSSECSUP,,software,Closed,Note,27/08/2013 10:54,28/08/2013 15:14
FSSECSUP-16,146670,FSSECSUP,,software,Closed,Improvement,23/08/2013 19:43,26/08/2013 09:04
FSSECSUP-15,146662,FSSECSUP,,software,Closed,Note,23/08/2013 16:06,27/08/2013 15:46
FSSECSUP-14,146647,FSSECSUP,,software,Closed,Bug,23/08/2013 14:23,06/09/2013 12:17
FSSECSUP-13,146645,FSSECSUP,,software,Closed,Bug,23/08/2013 14:10,30/08/2013 11:44
FSSECSUP-12,146644,FSSECSUP,,software,Closed,Bug,23/08/2013 14:07,23/08/2013 16:07
FSSECSUP-11,146637,FSSECSUP,,software,Closed,Bug,23/08/2013 13:42,23/08/2013 16:06
FSSECSUP-10,146636,FSSECSUP,,software,Closed,Bug,23/08/2013 13:38,26/08/2013 09:04
FSSECSUP-9,146630,FSSECSUP,,software,Closed,Bug,23/08/2013 13:33,23/08/2013 16:07
FSSECSUP-8,146442,FSSECSUP,,software,Closed,Task,21/08/2013 13:11,21/08/2013 15:22
FSSECSUP-7,146441,FSSECSUP,,software,Closed,Task,21/08/2013 13:11,28/08/2013 14:47
FSSECSUP-6,146440,FSSECSUP,,software,Closed,Task,21/08/2013 13:10,21/08/2013 15:27
FSSECSUP-5,146439,FSSECSUP,,software,Closed,Task,21/08/2013 13:10,21/08/2013 15:21
FSSECSUP-4,146438,FSSECSUP,,software,Closed,Task,21/08/2013 13:09,21/08/2013 15:23
FSSECSUP-3,146436,FSSECSUP,,software,Closed,Task,21/08/2013 13:01,21/08/2013 15:24
FSSECSUP-2,146434,FSSECSUP,,software,Closed,Task,21/08/2013 13:00,21/08/2013 15:23
FSSECSUP-1,146432,FSSECSUP,,software,Closed,Task,21/08/2013 12:58,21/08/2013 15:21
