Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
PSDTWO-60,461428,PSDTWO,,software,Done,Improvement,14/09/2017 12:16,14/09/2017 13:20
PSDTWO-59,460501,PSDTWO,,software,In progress,Story,12/09/2017 09:05,
PSDTWO-58,457233,PSDTWO,,software,Done,New Feature,31/08/2017 11:48,11/09/2017 15:38
PSDTWO-57,454032,PSDTWO,,software,Done,Sub-task,21/08/2017 13:59,15/02/2018 22:19
PSDTWO-56,452334,PSDTWO,,software,Done,Task,11/08/2017 12:48,02/10/2017 09:47
PSDTWO-55,451061,PSDTWO,,software,Done,New Feature,07/08/2017 12:39,26/09/2017 10:54
PSDTWO-54,450753,PSDTWO,,software,Done,Improvement,04/08/2017 13:40,02/10/2017 09:49
PSDTWO-53,450613,PSDTWO,,software,Done,Improvement,04/08/2017 09:50,04/08/2017 12:10
PSDTWO-52,450166,PSDTWO,,software,Done,Improvement,03/08/2017 08:47,04/08/2017 09:32
PSDTWO-51,450121,PSDTWO,,software,Done,Improvement,02/08/2017 16:15,21/08/2017 13:56
PSDTWO-50,450048,PSDTWO,,software,Done,Bug,02/08/2017 14:25,04/08/2017 09:31
PSDTWO-49,449207,PSDTWO,,software,Done,New Feature,01/08/2017 09:01,04/08/2017 09:36
PSDTWO-48,449202,PSDTWO,,software,Done,New Feature,01/08/2017 08:44,11/09/2017 15:39
PSDTWO-47,448900,PSDTWO,,software,Done,Improvement,31/07/2017 14:29,29/11/2017 11:53
PSDTWO-46,448331,PSDTWO,,software,Done,Improvement,28/07/2017 13:44,04/08/2017 09:36
PSDTWO-45,448012,PSDTWO,,software,To Do,Bug,27/07/2017 15:40,
PSDTWO-44,447712,PSDTWO,,software,Done,Improvement,26/07/2017 20:26,26/07/2017 21:21
PSDTWO-43,446363,PSDTWO,,software,Done,Bug,21/07/2017 11:39,04/08/2017 09:36
PSDTWO-42,446347,PSDTWO,,software,Done,Improvement,21/07/2017 11:19,26/07/2017 09:39
PSDTWO-41,446287,PSDTWO,,software,Done,Bug,21/07/2017 10:00,28/07/2017 13:42
PSDTWO-40,446022,PSDTWO,,software,Done,New Feature,20/07/2017 11:41,04/08/2017 09:36
PSDTWO-39,445920,PSDTWO,,software,Done,New Feature,20/07/2017 09:12,28/07/2017 13:42
PSDTWO-38,445782,PSDTWO,,software,Done,Improvement,19/07/2017 13:05,21/07/2017 11:18
PSDTWO-37,445779,PSDTWO,,software,Done,Improvement,19/07/2017 13:02,19/07/2017 13:49
PSDTWO-36,445687,PSDTWO,,software,Done,Task,19/07/2017 10:34,04/08/2017 12:11
PSDTWO-35,445684,PSDTWO,,software,Done,Task,19/07/2017 10:29,28/07/2017 15:46
PSDTWO-34,445683,PSDTWO,,software,Done,Task,19/07/2017 10:27,28/07/2017 15:47
PSDTWO-33,445680,PSDTWO,,software,Done,Task,19/07/2017 10:23,19/07/2017 15:49
PSDTWO-32,445300,PSDTWO,,software,Done,New Feature,18/07/2017 11:50,19/07/2017 10:05
PSDTWO-31,444846,PSDTWO,,software,To Do,Bug,17/07/2017 11:07,
PSDTWO-30,443585,PSDTWO,,software,Done,Task,12/07/2017 10:29,19/07/2017 10:18
PSDTWO-29,443576,PSDTWO,,software,Done,Task,12/07/2017 10:18,26/09/2017 10:58
PSDTWO-28,443550,PSDTWO,,software,Done,Sub-task,12/07/2017 09:36,19/07/2017 10:17
PSDTWO-27,442787,PSDTWO,,software,To Do,Task,10/07/2017 10:29,
PSDTWO-26,442776,PSDTWO,,software,Done,Task,10/07/2017 10:22,19/07/2017 15:50
PSDTWO-25,442765,PSDTWO,,software,Done,Task,10/07/2017 10:14,19/07/2017 10:51
PSDTWO-24,439940,PSDTWO,,software,Done,Task,30/06/2017 11:10,13/07/2017 09:40
PSDTWO-23,439867,PSDTWO,,software,Done,Task,30/06/2017 10:15,06/11/2017 09:17
PSDTWO-22,439420,PSDTWO,,software,Done,Task,29/06/2017 10:51,07/08/2017 12:31
PSDTWO-21,438349,PSDTWO,,software,Done,Bug,26/06/2017 11:18,29/06/2017 12:07
PSDTWO-20,438348,PSDTWO,,software,To Do,Bug,26/06/2017 11:17,
PSDTWO-19,433725,PSDTWO,,software,Done,Task,12/06/2017 08:49,30/06/2017 11:08
PSDTWO-18,433041,PSDTWO,,software,In progress,Task,08/06/2017 11:36,
PSDTWO-17,433037,PSDTWO,,software,Done,Task,08/06/2017 11:30,26/09/2017 10:54
PSDTWO-16,433036,PSDTWO,,software,Done,Task,08/06/2017 11:29,26/09/2017 10:54
PSDTWO-15,433000,PSDTWO,,software,To Do,Task,08/06/2017 10:31,
PSDTWO-14,432944,PSDTWO,,software,Done,Task,08/06/2017 09:02,12/07/2017 10:15
PSDTWO-13,432932,PSDTWO,,software,Done,Task,08/06/2017 08:00,20/07/2017 11:28
PSDTWO-12,432931,PSDTWO,,software,Done,Task,08/06/2017 07:59,26/09/2017 10:55
PSDTWO-11,432923,PSDTWO,,software,Done,Task,07/06/2017 22:07,30/06/2017 11:44
PSDTWO-10,432922,PSDTWO,,software,Done,Task,07/06/2017 22:05,29/06/2017 12:09
PSDTWO-9,432921,PSDTWO,,software,Done,Task,07/06/2017 22:03,26/09/2017 10:55
PSDTWO-8,432920,PSDTWO,,software,Done,Task,07/06/2017 21:59,29/06/2017 12:09
PSDTWO-7,376768,PSDTWO,,software,Done,Task,04/01/2017 12:50,02/06/2017 19:48
PSDTWO-6,376741,PSDTWO,,software,Done,Task,04/01/2017 11:57,02/06/2017 19:47
PSDTWO-5,376739,PSDTWO,,software,In review,Task,04/01/2017 11:56,
PSDTWO-4,266690,PSDTWO,,software,Done,Task,17/08/2016 15:25,02/06/2017 19:48
PSDTWO-3,264292,PSDTWO,,software,Done,Task,01/08/2016 21:51,04/01/2017 11:34
PSDTWO-2,263687,PSDTWO,,software,Done,Task,29/07/2016 15:12,04/01/2017 11:34
PSDTWO-1,263670,PSDTWO,,software,Done,Task,29/07/2016 14:31,04/01/2017 11:34
