Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
TSSA-407,444054,TSSA,,software,Tested,Bug,13/07/2017 14:28,
TSSA-406,444051,TSSA,,software,Ready,Decision,13/07/2017 14:16,
TSSA-405,444030,TSSA,,software,Tested,Bug,13/07/2017 13:35,
TSSA-404,444023,TSSA,,software,Tested,Bug,13/07/2017 13:30,
TSSA-403,444016,TSSA,,software,Ready for Development,Bug,13/07/2017 13:16,
TSSA-402,444003,TSSA,,software,Tested,Bug,13/07/2017 13:01,
TSSA-401,443993,TSSA,,software,Done,Decision,13/07/2017 12:41,
TSSA-400,443816,TSSA,,software,Done,Decision,13/07/2017 08:12,
TSSA-399,443734,TSSA,,software,Ready for Development,Task,12/07/2017 15:17,
TSSA-398,443656,TSSA,,software,Tested,Bug,12/07/2017 12:26,
TSSA-397,443287,TSSA,,software,Tested,Bug,11/07/2017 11:36,
TSSA-396,443141,TSSA,,software,Tested,Bug,11/07/2017 09:22,
TSSA-395,443140,TSSA,,software,Tested,Bug,11/07/2017 09:20,
TSSA-394,442801,TSSA,,software,Tested,Bug,10/07/2017 10:56,
TSSA-393,442800,TSSA,,software,In Testing,Bug,10/07/2017 10:54,
TSSA-392,442584,TSSA,,software,Tested,Sub-Task,07/07/2017 15:25,
TSSA-391,442583,TSSA,,software,Tested,Sub-task,07/07/2017 15:25,
TSSA-390,442212,TSSA,,software,Tested,Concept-Design-Sub-Task,07/07/2017 08:07,
TSSA-389,442136,TSSA,,software,Done,Bug,06/07/2017 15:25,
TSSA-388,442083,TSSA,,software,Reopened,Task,06/07/2017 14:28,
TSSA-387,442073,TSSA,,software,Ready for Review,Sub-Task,06/07/2017 14:18,
TSSA-386,442072,TSSA,,software,Tested,Task,06/07/2017 14:17,
TSSA-385,441973,TSSA,,software,Ready for Development,Bug,06/07/2017 12:48,
TSSA-384,441950,TSSA,,software,Tested,Bug,06/07/2017 12:09,
TSSA-383,441926,TSSA,,software,Tested,Bug,06/07/2017 11:23,
TSSA-382,441901,TSSA,,software,Done,Bug,06/07/2017 10:46,
TSSA-380,441891,TSSA,,software,Done,Bug,06/07/2017 10:23,
TSSA-379,441872,TSSA,,software,Done,Decision,06/07/2017 09:32,
TSSA-378,441861,TSSA,,software,In Testing,Bug,06/07/2017 09:20,
TSSA-377,441857,TSSA,,software,Tested,Bug,06/07/2017 09:15,
TSSA-376,441849,TSSA,,software,Tested,Bug,06/07/2017 08:47,
TSSA-374,441768,TSSA,,software,In Testing,Bug,05/07/2017 15:53,
TSSA-373,441426,TSSA,,software,Tested,Story,05/07/2017 10:23,
TSSA-372,441344,TSSA,,software,Reopened,Concept-Design-Sub-Task,05/07/2017 09:10,
TSSA-371,441337,TSSA,,software,Ready for Review,Sub-Task,05/07/2017 09:03,
TSSA-370,441239,TSSA,,software,Open,Story,04/07/2017 17:10,
TSSA-369,441163,TSSA,,software,Blocked,Concept-Design-Sub-Task,04/07/2017 15:03,
TSSA-368,441158,TSSA,,software,Rejected,Bug,04/07/2017 14:56,
TSSA-367,441157,TSSA,,software,Tested,Concept-Design-Sub-Task,04/07/2017 14:55,
TSSA-366,441132,TSSA,,software,Done,Sub-Task,04/07/2017 14:18,
TSSA-365,441130,TSSA,,software,Done,Task,04/07/2017 14:14,
TSSA-364,441114,TSSA,,software,Tested,Bug,04/07/2017 13:36,
TSSA-363,441053,TSSA,,software,In Testing,Bug,04/07/2017 12:23,
TSSA-362,440976,TSSA,,software,Tested,Bug,04/07/2017 10:54,
TSSA-361,440914,TSSA,,software,Ready for Development,Bug,04/07/2017 09:54,
TSSA-360,440742,TSSA,,software,Ready,Story,03/07/2017 15:55,
TSSA-359,440732,TSSA,,software,In Testing,Bug,03/07/2017 15:33,
TSSA-358,440712,TSSA,,software,Tested,Bug,03/07/2017 15:07,
TSSA-357,440688,TSSA,,software,Tested,Bug,03/07/2017 14:46,
TSSA-356,440449,TSSA,,software,Tested,Bug,03/07/2017 11:23,
TSSA-355,440026,TSSA,,software,Tested,Bug,30/06/2017 12:57,
TSSA-354,439999,TSSA,,software,Rejected,Bug,30/06/2017 12:09,
TSSA-353,439984,TSSA,,software,Ready for Development,Bug,30/06/2017 11:44,
TSSA-352,439915,TSSA,,software,Open,Story,30/06/2017 10:49,
TSSA-351,439886,TSSA,,software,Tested,Bug,30/06/2017 10:26,
TSSA-350,439582,TSSA,,software,Done,Bug,29/06/2017 15:42,
TSSA-349,439580,TSSA,,software,Blocked,Bug,29/06/2017 15:32,
