Issue key,Issue id,Project key,Column1,Project type,Status,Issue Type,Created,Resolved
NEDGEX-413,730438,NEDGEX,,software,To Do,User Story,22/07/2021 16:11,
NEDGEX-412,730422,NEDGEX,,software,To Do,User Story,22/07/2021 14:50,
NEDGEX-411,730403,NEDGEX,,software,Closed,User Story,22/07/2021 14:39,13/09/2021 10:25
NEDGEX-410,730402,NEDGEX,,software,To Do,User Story,22/07/2021 14:36,
NEDGEX-408,729965,NEDGEX,,software,Closed,User Story,20/07/2021 09:16,13/09/2021 10:24
NEDGEX-407,729963,NEDGEX,,software,To Do,User Story,20/07/2021 09:14,
NEDGEX-406,729962,NEDGEX,,software,To Do,Sub-task,20/07/2021 09:06,
NEDGEX-404,729960,NEDGEX,,software,In progress,Sub-task,20/07/2021 09:06,
NEDGEX-403,729959,NEDGEX,,software,To Do,User Story,20/07/2021 09:05,
NEDGEX-402,729956,NEDGEX,,software,Resolved,Bug,20/07/2021 08:54,
NEDGEX-401,729071,NEDGEX,,software,Closed,Task,13/07/2021 16:51,
NEDGEX-400,728967,NEDGEX,,software,To Do,Bug,13/07/2021 11:46,
NEDGEX-399,728929,NEDGEX,,software,Closed,Bug,13/07/2021 09:19,16/07/2021 12:57
NEDGEX-397,728924,NEDGEX,,software,Closed,Sub-task,13/07/2021 09:10,
NEDGEX-396,728923,NEDGEX,,software,Closed,Sub-task,13/07/2021 09:10,
NEDGEX-395,728922,NEDGEX,,software,Closed,Sub-task,13/07/2021 09:08,
NEDGEX-394,728921,NEDGEX,,software,Closed,Sub-task,13/07/2021 09:07,
NEDGEX-393,728920,NEDGEX,,software,Closed,Sub-task,13/07/2021 09:06,
NEDGEX-392,728178,NEDGEX,,software,To Do,User Story,07/07/2021 08:14,
NEDGEX-391,728057,NEDGEX,,software,Closed,Sub-bug,06/07/2021 10:57,
NEDGEX-390,728055,NEDGEX,,software,Closed,Sub-bug,06/07/2021 10:53,
NEDGEX-389,728054,NEDGEX,,software,Closed,Sub-bug,06/07/2021 10:52,
NEDGEX-388,728053,NEDGEX,,software,Closed,Sub-bug,06/07/2021 10:49,
NEDGEX-387,728050,NEDGEX,,software,Closed,Sub-bug,06/07/2021 10:45,
NEDGEX-386,728049,NEDGEX,,software,Closed,Sub-bug,06/07/2021 10:45,06/07/2021 17:50
NEDGEX-385,728013,NEDGEX,,software,Closed,Sub-task,06/07/2021 09:36,
NEDGEX-384,728012,NEDGEX,,software,Closed,Sub-task,06/07/2021 09:36,
NEDGEX-383,728010,NEDGEX,,software,Closed,Sub-task,06/07/2021 09:31,
NEDGEX-382,728009,NEDGEX,,software,Closed,Sub-task,06/07/2021 09:31,
NEDGEX-381,728003,NEDGEX,,software,To Do,Sub-task,06/07/2021 09:16,
NEDGEX-380,728002,NEDGEX,,software,Ready for Testing,Sub-task,06/07/2021 09:15,
NEDGEX-379,728001,NEDGEX,,software,Ready for Testing,Sub-task,06/07/2021 09:14,
NEDGEX-377,727857,NEDGEX,,software,To Do,User Story,05/07/2021 11:29,
NEDGEX-376,727856,NEDGEX,,software,To Do,Epic,05/07/2021 11:28,
NEDGEX-375,727854,NEDGEX,,software,To Do,Bug,05/07/2021 11:21,
NEDGEX-374,727852,NEDGEX,,software,To Do,User Story,05/07/2021 11:09,
NEDGEX-373,727851,NEDGEX,,software,To Do,Epic,05/07/2021 11:09,
NEDGEX-372,727850,NEDGEX,,software,Closed,Bug,05/07/2021 11:02,
NEDGEX-371,727849,NEDGEX,,software,Closed,Bug,05/07/2021 11:02,
NEDGEX-370,727845,NEDGEX,,software,To Do,User Story,05/07/2021 10:59,
NEDGEX-369,727841,NEDGEX,,software,To Do,User Story,05/07/2021 10:56,
NEDGEX-368,727840,NEDGEX,,software,To Do,User Story,05/07/2021 10:56,
NEDGEX-367,727839,NEDGEX,,software,To Do,Epic,05/07/2021 10:55,
NEDGEX-366,727838,NEDGEX,,software,Closed,User Story,05/07/2021 10:52,13/09/2021 10:25
NEDGEX-365,727837,NEDGEX,,software,Closed,Bug,05/07/2021 10:50,
NEDGEX-364,727836,NEDGEX,,software,To Do,User Story,05/07/2021 10:48,
NEDGEX-363,727834,NEDGEX,,software,Closed,User Story,05/07/2021 10:46,03/08/2021 09:09
