Issue key,Issue id,Project key,Column1,Project type,Status,Issue Type,Created,Resolved
SETBUILDER-682,753641,SETBUILDER,,software,Done,Task,17/12/2021 09:44,17/12/2021 10:36
SETBUILDER-681,752344,SETBUILDER,,software,To Do,Improvement,10/12/2021 10:27,
SETBUILDER-680,752338,SETBUILDER,,software,Done,Improvement,10/12/2021 09:58,22/06/2022 09:02
SETBUILDER-679,752336,SETBUILDER,,software,Done,Improvement,10/12/2021 09:54,29/05/2022 20:28
SETBUILDER-678,752335,SETBUILDER,,software,Done,Improvement,10/12/2021 09:53,11/05/2022 14:15
SETBUILDER-677,752334,SETBUILDER,,software,Done,Improvement,10/12/2021 09:52,13/05/2022 19:38
SETBUILDER-676,752333,SETBUILDER,,software,Done,Bug,10/12/2021 09:50,20/06/2022 09:59
SETBUILDER-675,752332,SETBUILDER,,software,Done,Improvement,10/12/2021 09:49,11/04/2022 20:18
SETBUILDER-674,752331,SETBUILDER,,software,Done,Bug,10/12/2021 09:47,06/05/2022 12:32
SETBUILDER-673,752329,SETBUILDER,,software,To Do,Improvement,10/12/2021 09:44,
SETBUILDER-672,752328,SETBUILDER,,software,Done,New Feature,10/12/2021 09:43,20/06/2022 09:59
SETBUILDER-671,752327,SETBUILDER,,software,In progress,New Feature,10/12/2021 09:42,
SETBUILDER-670,752326,SETBUILDER,,software,Done,New Feature,10/12/2021 09:41,31/05/2022 09:16
SETBUILDER-669,752325,SETBUILDER,,software,Done,Improvement,10/12/2021 09:39,11/05/2022 14:15
SETBUILDER-668,752324,SETBUILDER,,software,In review,Improvement,10/12/2021 09:38,
SETBUILDER-667,752323,SETBUILDER,,software,Done,New Feature,10/12/2021 09:37,17/05/2022 10:26
SETBUILDER-666,752320,SETBUILDER,,software,To Do,Improvement,10/12/2021 09:33,
SETBUILDER-665,715161,SETBUILDER,,software,Done,Bug,13/04/2021 15:42,17/01/2022 10:15
SETBUILDER-664,712516,SETBUILDER,,software,To Do,Task,24/03/2021 09:52,
SETBUILDER-663,709430,SETBUILDER,,software,Done,New Feature,02/03/2021 11:52,17/01/2022 10:14
SETBUILDER-662,707798,SETBUILDER,,software,To Do,Task,19/02/2021 09:54,
SETBUILDER-661,703811,SETBUILDER,,software,Done,Task,25/01/2021 11:13,17/01/2022 10:16
SETBUILDER-660,701212,SETBUILDER,,software,Done,Improvement,05/01/2021 14:04,17/01/2022 10:15
SETBUILDER-659,689158,SETBUILDER,,software,Done,Improvement,16/09/2020 08:32,11/05/2022 14:15
SETBUILDER-658,664792,SETBUILDER,,software,Done,Bug,28/02/2020 08:21,17/01/2022 10:15
SETBUILDER-657,663456,SETBUILDER,,software,Done,Bug,19/02/2020 15:14,17/01/2022 10:15
SETBUILDER-656,662554,SETBUILDER,,software,To Do,New Feature,13/02/2020 13:52,
SETBUILDER-655,662377,SETBUILDER,,software,To Do,Improvement,12/02/2020 16:14,
SETBUILDER-654,661997,SETBUILDER,,software,Done,Bug,11/02/2020 11:37,17/01/2022 10:15
SETBUILDER-653,661249,SETBUILDER,,software,Done,Bug,05/02/2020 16:37,17/01/2022 10:16
SETBUILDER-652,659101,SETBUILDER,,software,To Do,New Feature,23/01/2020 11:00,
SETBUILDER-651,659068,SETBUILDER,,software,Done,Improvement,23/01/2020 10:03,17/01/2022 10:14
SETBUILDER-650,659057,SETBUILDER,,software,To Do,Improvement,23/01/2020 09:46,
SETBUILDER-649,659049,SETBUILDER,,software,Done,Improvement,23/01/2020 09:39,17/01/2022 10:16
SETBUILDER-648,659029,SETBUILDER,,software,To Do,Improvement,23/01/2020 09:13,
SETBUILDER-647,659028,SETBUILDER,,software,Done,Improvement,23/01/2020 09:08,13/05/2022 19:38
SETBUILDER-646,659026,SETBUILDER,,software,Done,Improvement,23/01/2020 09:04,23/03/2022 11:28
SETBUILDER-645,659025,SETBUILDER,,software,Done,Improvement,23/01/2020 09:02,17/01/2022 10:15
SETBUILDER-644,659023,SETBUILDER,,software,Done,Improvement,23/01/2020 08:56,17/01/2022 10:16
SETBUILDER-643,659021,SETBUILDER,,software,Done,Improvement,23/01/2020 08:52,17/01/2022 10:15
SETBUILDER-642,659020,SETBUILDER,,software,Accepted,Improvement,23/01/2020 08:49,
SETBUILDER-641,659018,SETBUILDER,,software,Done,Improvement,23/01/2020 08:46,17/01/2022 10:15
SETBUILDER-640,659016,SETBUILDER,,software,To Do,Improvement,23/01/2020 08:36,
SETBUILDER-639,659011,SETBUILDER,,software,In review,Task,23/01/2020 08:20,
SETBUILDER-638,646857,SETBUILDER,,software,Done,Bug,04/11/2019 15:55,21/11/2019 11:01
SETBUILDER-637,646787,SETBUILDER,,software,Done,Bug,04/11/2019 14:04,21/11/2019 11:02
SETBUILDER-636,645146,SETBUILDER,,software,Done,Bug,25/10/2019 08:39,25/10/2019 16:43
SETBUILDER-635,645142,SETBUILDER,,software,Done,Bug,25/10/2019 08:19,25/10/2019 16:43
SETBUILDER-634,644343,SETBUILDER,,software,Done,Bug,22/10/2019 11:37,23/10/2019 10:39
SETBUILDER-633,644324,SETBUILDER,,software,Done,Bug,22/10/2019 10:48,30/10/2019 11:25
SETBUILDER-632,644235,SETBUILDER,,software,Done,Bug,21/10/2019 16:33,24/10/2019 10:11
SETBUILDER-631,644226,SETBUILDER,,software,Done,Bug,21/10/2019 16:00,13/12/2019 11:12
SETBUILDER-630,643540,SETBUILDER,,software,Done,Bug,17/10/2019 07:48,22/10/2019 13:51
SETBUILDER-629,643107,SETBUILDER,,software,Done,Bug,15/10/2019 10:01,22/10/2019 13:39
SETBUILDER-628,643103,SETBUILDER,,software,Done,Bug,15/10/2019 09:33,24/10/2019 09:59
SETBUILDER-627,642995,SETBUILDER,,software,Done,Bug,14/10/2019 13:42,21/10/2019 13:34
SETBUILDER-626,642979,SETBUILDER,,software,Done,Bug,14/10/2019 13:07,25/10/2019 16:43
SETBUILDER-625,642902,SETBUILDER,,software,Done,Bug,14/10/2019 11:12,22/10/2019 11:39
SETBUILDER-624,642895,SETBUILDER,,software,Done,Bug,14/10/2019 11:02,24/10/2019 10:01
SETBUILDER-623,642865,SETBUILDER,,software,Done,Bug,14/10/2019 09:59,24/10/2019 09:59
SETBUILDER-622,642862,SETBUILDER,,software,Done,Bug,14/10/2019 09:47,22/10/2019 10:21
SETBUILDER-621,642859,SETBUILDER,,software,Done,Bug,14/10/2019 09:41,24/10/2019 12:55
SETBUILDER-620,639250,SETBUILDER,,software,Done,Bug,23/09/2019 15:49,21/10/2019 14:34
SETBUILDER-618,637168,SETBUILDER,,software,Done,Improvement,10/09/2019 13:20,24/10/2019 11:08
SETBUILDER-617,636872,SETBUILDER,,software,Done,Bug,09/09/2019 11:13,10/09/2019 13:26
SETBUILDER-616,632132,SETBUILDER,,software,Done,Bug,12/08/2019 16:53,13/09/2019 09:23
SETBUILDER-615,630802,SETBUILDER,,software,Done,Bug,06/08/2019 10:19,06/08/2019 15:18
SETBUILDER-614,629105,SETBUILDER,,software,Done,Improvement,29/07/2019 09:10,06/08/2019 08:55
SETBUILDER-613,628912,SETBUILDER,,software,Done,Bug,26/07/2019 11:19,06/08/2019 08:55
SETBUILDER-612,628283,SETBUILDER,,software,Done,Improvement,23/07/2019 13:56,29/07/2019 10:03
SETBUILDER-611,627929,SETBUILDER,,software,Done,Bug,22/07/2019 10:06,22/07/2019 16:24
SETBUILDER-610,627928,SETBUILDER,,software,Done,Bug,22/07/2019 10:04,23/07/2019 13:47
SETBUILDER-609,626850,SETBUILDER,,software,Done,Bug,12/07/2019 13:16,15/07/2019 13:54
SETBUILDER-608,626173,SETBUILDER,,software,Done,Bug,11/07/2019 08:55,26/07/2019 15:01
SETBUILDER-607,625896,SETBUILDER,,software,Done,Bug,10/07/2019 11:01,26/07/2019 15:01
SETBUILDER-606,622154,SETBUILDER,,software,Done,Bug,24/06/2019 10:38,04/07/2019 14:23
SETBUILDER-605,620108,SETBUILDER,,software,Done,Bug,12/06/2019 09:34,26/07/2019 15:02
SETBUILDER-604,587298,SETBUILDER,,software,Done,New Feature,07/02/2019 12:39,23/10/2019 15:50
SETBUILDER-603,587027,SETBUILDER,,software,Done,Improvement,06/02/2019 14:27,17/01/2022 10:16
SETBUILDER-602,587026,SETBUILDER,,software,Done,New Feature,06/02/2019 14:26,11/05/2022 14:15
SETBUILDER-601,587025,SETBUILDER,,software,To Do,Improvement,06/02/2019 14:24,
SETBUILDER-600,587024,SETBUILDER,,software,To Do,Improvement,06/02/2019 14:24,
SETBUILDER-599,587023,SETBUILDER,,software,Done,Improvement,06/02/2019 14:22,03/07/2019 12:46
SETBUILDER-598,587018,SETBUILDER,,software,Done,New Feature,06/02/2019 14:20,27/06/2019 07:52
SETBUILDER-597,587012,SETBUILDER,,software,Done,New Feature,06/02/2019 14:17,03/07/2019 12:47
SETBUILDER-596,587010,SETBUILDER,,software,Done,Improvement,06/02/2019 14:15,13/05/2022 19:38
SETBUILDER-595,587007,SETBUILDER,,software,Done,New Feature,06/02/2019 14:14,29/07/2019 10:18
SETBUILDER-594,587006,SETBUILDER,,software,Done,New Feature,06/02/2019 14:12,03/07/2019 12:47
SETBUILDER-593,587003,SETBUILDER,,software,Done,New Feature,06/02/2019 14:08,27/06/2019 07:51
SETBUILDER-592,571457,SETBUILDER,,software,Done,Improvement,27/11/2018 13:14,28/11/2018 15:12
SETBUILDER-591,571295,SETBUILDER,,software,Done,Bug,26/11/2018 16:59,28/11/2018 16:34
SETBUILDER-590,556025,SETBUILDER,,software,Done,New Feature,17/09/2018 14:03,28/11/2018 16:37
SETBUILDER-589,552361,SETBUILDER,,software,Done,New Feature,31/08/2018 09:42,28/11/2018 16:37
SETBUILDER-588,540803,SETBUILDER,,software,Done,Improvement,11/07/2018 11:33,03/08/2018 08:16
SETBUILDER-587,537942,SETBUILDER,,software,Done,Bug,28/06/2018 08:27,29/06/2018 17:04
SETBUILDER-586,536919,SETBUILDER,,software,Done,Bug,22/06/2018 15:15,27/06/2018 14:16
SETBUILDER-585,536890,SETBUILDER,,software,Done,Bug,22/06/2018 14:13,27/06/2018 14:17
SETBUILDER-584,536774,SETBUILDER,,software,Done,Bug,22/06/2018 09:34,22/06/2018 12:19
SETBUILDER-583,536727,SETBUILDER,,software,Done,Bug,22/06/2018 09:08,22/06/2018 12:17
SETBUILDER-582,536145,SETBUILDER,,software,Done,Bug,20/06/2018 12:56,20/06/2018 14:27
SETBUILDER-581,534227,SETBUILDER,,software,Done,Bug,13/06/2018 10:02,20/06/2018 11:54
SETBUILDER-580,529437,SETBUILDER,,software,Done,Bug,24/05/2018 09:36,22/06/2018 12:18
SETBUILDER-579,529397,SETBUILDER,,software,Done,Bug,23/05/2018 19:44,20/06/2018 11:21
SETBUILDER-578,527827,SETBUILDER,,software,Done,Bug,16/05/2018 17:22,21/05/2018 13:59
SETBUILDER-577,527803,SETBUILDER,,software,Done,Bug,16/05/2018 17:01,05/06/2018 09:43
SETBUILDER-576,527801,SETBUILDER,,software,Done,Bug,16/05/2018 16:58,18/05/2018 14:39
SETBUILDER-575,527719,SETBUILDER,,software,Done,Bug,16/05/2018 14:52,18/05/2018 13:43
SETBUILDER-574,527175,SETBUILDER,,software,Done,Bug,16/05/2018 08:23,18/05/2018 13:03
SETBUILDER-573,527121,SETBUILDER,,software,Done,Bug,15/05/2018 17:12,12/06/2018 08:49
SETBUILDER-572,527052,SETBUILDER,,software,Done,Bug,15/05/2018 15:16,18/05/2018 10:16
SETBUILDER-571,527036,SETBUILDER,,software,Done,Bug,15/05/2018 14:51,23/05/2018 19:37
SETBUILDER-570,527013,SETBUILDER,,software,Done,Bug,15/05/2018 14:05,23/05/2018 19:38
SETBUILDER-569,527001,SETBUILDER,,software,Done,Bug,15/05/2018 13:41,22/05/2018 15:38
SETBUILDER-568,526991,SETBUILDER,,software,Done,Improvement,15/05/2018 13:29,20/06/2018 11:55
SETBUILDER-567,526984,SETBUILDER,,software,Done,Bug,15/05/2018 13:14,16/05/2018 16:41
SETBUILDER-566,526705,SETBUILDER,,software,Done,Bug,14/05/2018 13:14,24/05/2018 17:57
SETBUILDER-565,526580,SETBUILDER,,software,Done,Bug,14/05/2018 11:46,14/05/2018 12:49
SETBUILDER-564,525162,SETBUILDER,,software,Done,Bug,07/05/2018 16:59,20/06/2018 11:21
SETBUILDER-563,525150,SETBUILDER,,software,Done,Bug,07/05/2018 16:27,15/05/2018 14:19
SETBUILDER-562,525114,SETBUILDER,,software,Done,Bug,07/05/2018 15:09,14/05/2018 12:49
SETBUILDER-561,525110,SETBUILDER,,software,Done,Bug,07/05/2018 15:02,08/05/2018 14:33
SETBUILDER-560,524691,SETBUILDER,,software,Done,Bug,04/05/2018 15:15,07/05/2018 15:45
SETBUILDER-559,524551,SETBUILDER,,software,Done,Bug,03/05/2018 09:15,20/06/2018 11:21
SETBUILDER-558,524534,SETBUILDER,,software,Done,Bug,02/05/2018 17:28,16/05/2018 11:26
SETBUILDER-557,524338,SETBUILDER,,software,Done,Improvement,02/05/2018 09:08,07/05/2018 18:44
SETBUILDER-556,524336,SETBUILDER,,software,Done,Improvement,02/05/2018 09:02,05/06/2018 16:57
SETBUILDER-555,523459,SETBUILDER,,software,Done,Sub-task,26/04/2018 16:12,29/11/2018 12:45
SETBUILDER-554,523458,SETBUILDER,,software,Done,Sub-task,26/04/2018 16:11,29/11/2018 12:45
SETBUILDER-553,519926,SETBUILDER,,software,Done,Bug,13/04/2018 11:17,30/04/2018 08:20
SETBUILDER-552,518173,SETBUILDER,,software,Done,Sub-task,09/04/2018 16:40,12/04/2018 11:34
SETBUILDER-551,517799,SETBUILDER,,software,Done,Sub-task,09/04/2018 10:13,19/04/2018 07:58
SETBUILDER-550,517797,SETBUILDER,,software,Done,Sub-task,09/04/2018 10:13,19/04/2018 07:58
SETBUILDER-549,517477,SETBUILDER,,software,Done,Sub-task,06/04/2018 12:16,09/04/2018 16:22
SETBUILDER-548,517393,SETBUILDER,,software,Done,Sub-task,06/04/2018 10:43,30/04/2018 08:21
SETBUILDER-546,517384,SETBUILDER,,software,Done,Sub-task,06/04/2018 10:41,30/04/2018 09:10
SETBUILDER-545,517383,SETBUILDER,,software,Done,Sub-task,06/04/2018 10:41,26/04/2018 14:26
SETBUILDER-544,517380,SETBUILDER,,software,Done,Sub-task,06/04/2018 10:40,30/04/2018 13:09
SETBUILDER-543,517379,SETBUILDER,,software,Done,Sub-task,06/04/2018 10:40,20/04/2018 10:21
