Issue key,Issue id,Project key,Column1,Project type,Status,Issue Type,Created,Resolved
VMSW-153,721939,VMSW,,software,To Do,Bug,28/05/2021 15:03,
VMSW-152,721812,VMSW,,software,Done,Bug,27/05/2021 20:20,27/05/2021 23:05
VMSW-151,721706,VMSW,,software,In progress,Bug,27/05/2021 13:49,
VMSW-150,721451,VMSW,,software,Done,Bug,25/05/2021 22:58,27/05/2021 22:48
VMSW-149,721417,VMSW,,software,Done,Task,25/05/2021 16:32,27/05/2021 22:41
VMSW-148,721397,VMSW,,software,Done,Task,25/05/2021 15:08,27/05/2021 22:57
VMSW-147,721214,VMSW,,software,Done,Task,24/05/2021 12:40,27/05/2021 22:57
VMSW-146,720932,VMSW,,software,Blocked,Bug,20/05/2021 23:58,
VMSW-145,720931,VMSW,,software,Done,Bug,20/05/2021 23:53,25/05/2021 22:35
VMSW-144,720769,VMSW,,software,Blocked,Bug,20/05/2021 12:21,
VMSW-143,720689,VMSW,,software,Done,Bug,19/05/2021 21:02,27/05/2021 22:46
VMSW-141,718403,VMSW,,software,To Do,Bug,05/05/2021 13:18,
VMSW-140,717724,VMSW,,software,Done,Bug,29/04/2021 17:21,13/05/2021 20:23
VMSW-139,717710,VMSW,,software,Done,Bug,29/04/2021 16:09,12/05/2021 22:51
VMSW-138,717672,VMSW,,software,Done,Task,29/04/2021 14:07,12/05/2021 23:22
VMSW-137,717649,VMSW,,software,Done,Bug,29/04/2021 12:39,19/05/2021 20:48
VMSW-136,717646,VMSW,,software,Done,Bug,29/04/2021 12:35,17/05/2021 21:01
VMSW-135,717405,VMSW,,software,Done,Task,28/04/2021 11:54,05/05/2021 18:26
VMSW-134,717259,VMSW,,software,Done,Task,27/04/2021 17:55,17/05/2021 21:20
VMSW-133,717251,VMSW,,software,Done,Task,27/04/2021 17:13,29/04/2021 14:10
VMSW-132,717246,VMSW,,software,Done,Task,27/04/2021 16:52,04/05/2021 19:14
VMSW-131,717235,VMSW,,software,Done,Task,27/04/2021 16:26,12/05/2021 23:07
VMSW-130,717210,VMSW,,software,Done,Task,27/04/2021 15:39,05/05/2021 18:52
VMSW-129,717104,VMSW,,software,Done,Task,27/04/2021 09:54,04/05/2021 18:52
