Issue key,Issue id,Project key,Column1,Project type,Status,Issue Type,Created,Resolved
FENIXPR-252,185086,FENIXPR,,software,Open,Task,23/01/2015 16:53,
FENIXPR-251,183814,FENIXPR,,software,Resolved,Task,12/01/2015 07:38,23/01/2015 16:57
FENIXPR-250,182417,FENIXPR,,software,Resolved,Task,12/12/2014 15:58,19/12/2014 12:26
FENIXPR-249,182259,FENIXPR,,software,Open,Sub-task,11/12/2014 11:03,
FENIXPR-248,182258,FENIXPR,,software,Resolved,Sub-task,11/12/2014 11:02,11/12/2014 12:05
FENIXPR-247,182257,FENIXPR,,software,Resolved,Sub-task,11/12/2014 11:02,11/12/2014 13:16
FENIXPR-246,182256,FENIXPR,,software,Open,Sub-task,11/12/2014 11:02,
FENIXPR-244,182254,FENIXPR,,software,Resolved,Sub-task,11/12/2014 11:01,12/12/2014 10:55
FENIXPR-243,182253,FENIXPR,,software,Resolved,Sub-task,11/12/2014 11:01,12/12/2014 13:29
FENIXPR-242,182252,FENIXPR,,software,Resolved,Sub-task,11/12/2014 11:00,12/12/2014 15:26
FENIXPR-241,182214,FENIXPR,,software,Resolved,Task,10/12/2014 16:10,19/12/2014 12:26
FENIXPR-240,176631,FENIXPR,,software,Resolved,Bug,03/10/2014 13:26,03/10/2014 13:26
FENIXPR-239,176630,FENIXPR,,software,Closed,Bug,03/10/2014 13:16,03/10/2014 13:22
FENIXPR-238,176618,FENIXPR,,software,Resolved,Bug,03/10/2014 11:49,06/10/2014 08:22
FENIXPR-237,176601,FENIXPR,,software,Resolved,Bug,03/10/2014 11:12,03/10/2014 13:28
FENIXPR-236,176573,FENIXPR,,software,Open,Task,02/10/2014 18:09,
FENIXPR-235,176419,FENIXPR,,software,Resolved,Sub-task,01/10/2014 10:22,01/10/2014 12:27
FENIXPR-234,176226,FENIXPR,,software,Closed,Bug,29/09/2014 12:58,29/09/2014 13:17
FENIXPR-233,176182,FENIXPR,,software,Closed,Bug,29/09/2014 08:04,29/09/2014 08:05
FENIXPR-232,176138,FENIXPR,,software,Resolved,Sub-task,26/09/2014 11:12,29/09/2014 07:45
FENIXPR-231,176137,FENIXPR,,software,Resolved,Sub-task,26/09/2014 11:12,29/09/2014 07:45
FENIXPR-230,176130,FENIXPR,,software,Resolved,Task,26/09/2014 09:42,06/11/2014 14:32
FENIXPR-229,176125,FENIXPR,,software,Closed,Bug,26/09/2014 09:00,26/09/2014 09:17
FENIXPR-228,176123,FENIXPR,,software,Resolved,Bug,26/09/2014 08:56,06/11/2014 14:32
FENIXPR-227,176118,FENIXPR,,software,Closed,Sub-task,26/09/2014 08:09,26/09/2014 08:10
FENIXPR-226,176117,FENIXPR,,software,Resolved,Improvement,26/09/2014 07:31,06/11/2014 14:32
FENIXPR-225,176110,FENIXPR,,software,Closed,Improvement,25/09/2014 16:41,30/09/2014 13:48
FENIXPR-224,176109,FENIXPR,,software,Closed,Bug,25/09/2014 16:37,26/09/2014 15:26
FENIXPR-223,176108,FENIXPR,,software,Resolved,Improvement,25/09/2014 16:33,06/11/2014 14:32
FENIXPR-222,176100,FENIXPR,,software,Closed,Bug,25/09/2014 15:16,26/09/2014 15:29
FENIXPR-221,176096,FENIXPR,,software,Closed,Bug,25/09/2014 14:53,25/09/2014 15:07
FENIXPR-220,176073,FENIXPR,,software,Resolved,Sub-task,25/09/2014 12:26,01/10/2014 13:29
FENIXPR-219,176041,FENIXPR,,software,Resolved,Task,25/09/2014 10:03,06/11/2014 14:32
FENIXPR-218,176002,FENIXPR,,software,Closed,Bug,24/09/2014 14:11,24/09/2014 14:44
FENIXPR-217,175992,FENIXPR,,software,Resolved,Sub-task,24/09/2014 12:31,01/10/2014 12:13
FENIXPR-216,175991,FENIXPR,,software,Resolved,Sub-task,24/09/2014 12:29,24/09/2014 12:30
FENIXPR-215,175947,FENIXPR,,software,Resolved,Sub-task,23/09/2014 15:51,24/09/2014 12:29
FENIXPR-214,175924,FENIXPR,,software,Closed,Bug,23/09/2014 13:24,23/09/2014 13:24
FENIXPR-213,175914,FENIXPR,,software,Closed,Bug,23/09/2014 12:18,23/09/2014 13:10
FENIXPR-212,175881,FENIXPR,,software,Resolved,Sub-task,23/09/2014 09:14,23/09/2014 15:50
