Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
TECNOBD-132,200383,TECNOBD,,software,Closed,Task,29/06/2015 14:29,06/08/2015 16:20
TECNOBD-131,198972,TECNOBD,,software,Resolved,Task,16/06/2015 11:34,06/07/2015 14:21
TECNOBD-130,198247,TECNOBD,,software,Resolved,Task,09/06/2015 15:08,21/10/2015 14:43
TECNOBD-129,191393,TECNOBD,,software,Open,Task,30/03/2015 11:05,
TECNOBD-128,191123,TECNOBD,,software,Closed,Task,26/03/2015 10:22,03/11/2016 17:32
TECNOBD-127,177945,TECNOBD,,software,Closed,Bug,21/10/2014 14:11,18/02/2015 16:53
TECNOBD-126,177580,TECNOBD,,software,Resolved,Bug,15/10/2014 15:26,18/11/2014 15:53
TECNOBD-125,177527,TECNOBD,,software,Closed,Bug,15/10/2014 10:41,18/02/2015 16:53
TECNOBD-124,177525,TECNOBD,,software,Closed,Bug,15/10/2014 10:34,18/02/2015 16:53
TECNOBD-123,177523,TECNOBD,,software,Closed,Bug,15/10/2014 10:30,18/02/2015 16:53
TECNOBD-122,177522,TECNOBD,,software,Closed,Bug,15/10/2014 10:28,18/02/2015 16:53
TECNOBD-121,177520,TECNOBD,,software,Closed,Bug,15/10/2014 10:26,18/02/2015 16:53
TECNOBD-120,176895,TECNOBD,,software,Closed,Bug,08/10/2014 10:07,18/02/2015 16:53
TECNOBD-119,176152,TECNOBD,,software,Closed,Bug,26/09/2014 12:18,18/02/2015 16:53
TECNOBD-118,176139,TECNOBD,,software,Closed,Bug,26/09/2014 11:21,18/02/2015 16:53
TECNOBD-117,176006,TECNOBD,,software,Open,Task,24/09/2014 14:36,
TECNOBD-116,176005,TECNOBD,,software,Closed,Task,24/09/2014 14:35,18/02/2015 16:53
TECNOBD-115,175636,TECNOBD,,software,Open,Task,18/09/2014 13:53,
TECNOBD-114,174599,TECNOBD,,software,Closed,User Story,08/09/2014 07:46,18/02/2015 16:53
TECNOBD-113,174598,TECNOBD,,software,Closed,User Story,08/09/2014 07:46,18/02/2015 16:53
TECNOBD-112,174597,TECNOBD,,software,Closed,User Story,08/09/2014 07:45,18/02/2015 16:53
