Type,Count
Bug,215570
Story,31394
Improvement,42691
Technical task,987
New Feature,14239
Sub-task,14396
Technical Debt,30
Documentation,699
Wish,88
Test,17
Suggestion,96370
Support Request,2368
Public Security Vulnerability,1
Test Task,336
Milestone,44
Release,4
Investigation,22
Question,1396
Build Failure,1715
Problem Ticket,113
Incident,18
Enhancement Request,3239
