Type,Count
Bug,20239
Task,4975
Improvement,7034
Story,2984
New Feature,2278
Technical Debt,8
Documentation,456
Pricing Change,1
Support Request,145
Plugin Release Request,13
Support,1
Ask a question,5
IT Help,2
Atlassian Incident,4
Feedback,9
Third-party issue,2
Suggestion,542
Forge Initiative,32
Purchase,3
Development Task,2
Infrastructure,2
Success Metric,13
Initiative,8
Problem,1
Payment Support,1
App Incident,9
A/B Test,12
Questions,1
DAC Feedback,96
